Sub * SUBJ SUBJ !›Â—”  „‰«»⁄!
W * N N,PL,COM “‰«‰
W * DELM DELM -
W * N N,SING,TIME,GEN ”«·
W * N N,SING,NUM 9
W * DELM DELM °
W * N N,SING,COM,GEN ‘„«—Â
W * N N,SING,NUM 26
W * DELM DELM -
W * N N,SING,COM ‰‘«‰Ì
W * DELM DELM :
W * N N,SING,LOC,PR  Â—«‰
W * DELM DELM °
W * N N,SING,COM,GEN ’‰œÊﬁ
W * ADJ ADJ,SIM,GEN Å” Ì
W * N N,SING,NUM 3655
W * DELM DELM -
W * N N,SING,NUM 57851
W * DELM DELM /
W * N N,SING,COM  ·›‰
W * DELM DELM :
W * N N,SING,NUM 8760488
W * DELM DELM /
W * N N,SING,COM ›«ﬂ”
W * DELM DELM :
W * N N,SING,NUM 9760488
W * DELM DELM .
W * N N,SING,COM,GEN ›Â—” 
W * QUA QUA »—ŒÌ
W * N N,PL,COM „ÿ«·»
W * DELM DELM :
W * N N,SING,COM Ê—Êœ
W * P P »Â
W * N N,SING,TIME,GEN Â“«—ÂÒ
W * ADJ ADJ,ORD ”Ê„
W * P P »Â
W * N N,SING,COM,GEN —Â»—Ì
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM “‰
W * DELM DELM °
W * ADJ ADJ,SIM ê“«—‘Ì
W * P P «“
W * N N,PL,COM,GEN „—«”„
W * N N,SING,COM,GEN „⁄«—›ÂÒ
W * ADJ ADJ,SUP ‰Œ” Ì‰
W * N N,SING,COM,GEN —∆Ì” Ã„ÂÊ—
W * N N,SING,COM,GEN “‰
W * N N,SING,LOC,PR Å«‰«„«
W * DELM DELM -
W * N N,SING,COM —ÊÕ
W * CON CON Ê
W * N N,SING,COM,GEN Ã”„
W * N N,PL,COM “‰«‰
W * P P œ—
W * N N,SING,COM,GEN  «—ÊÅÊœ
W * N N,SING,COM ﬁ«·Ì
W * DELM DELM °
W * N N,SING,COM ê›  ÊêÊ
W * P P »«
W * N N,SING,PR,GEN ÅÊ—«‰œŒ 
W * N N,SING,PR ‰Ì—Ê„‰œ
W * DELM DELM °
W * N N,SING,COM „Õﬁﬁ
W * CON CON Ê
W * N N,SING,COM,GEN »«›‰œÂÒ
W * N N,SING,COM ﬁ«·Ì
W * DELM DELM -
W * N N,SING,COM,GEN Ã«Ìê«Â
