Sub * SUBJ SUBJ !„–Â»Ì!
W * N N,SING,SURN «„«„
W * N N,SING,PR Õ”Ì‰
W * DELM DELM ª
W * N N,SING,SURN ⁄
W * DELM DELM ´
W * V V,PRS,NEG,3 ‰„Ì ŒÊ«Âœ
W * P P œ—
W * N N,SING,COM,INDF êÊ‘Â «Ì
W * ADV ADV,GENR,EXM,GEN „À·
W * N N,SING,COM,INDF ‘„⁄Ì
W * ADV ADV,GENR,SIM Å—Å—
W * V V,SUB,POS,3 »“‰œ
W * CON CON Ê
W * N N,SING,COM,GEN «‰⁄ﬂ«”
W * N N,SING,COM,GEN ‘⁄·Â
W * N N,SING,COM ‘Â«œ 
W * CON CON Ê
W * N N,SING,COM,AFF,3 ›—Ì«œ‘
W * CON CON Ê
W * N N,SING,COM,AFF,3 ÅÌ«„‘
W * P P œ—
W * DET DET ¬‰
W * N N,SING,COM,GEN “„«‰Â
W * ADJ ADJ,SIM Å—‰Ì—‰ê
W * ADJ ADJ,SIM „ÕÊ
W * CON CON Ê
W * N N,SING,COM  Õ—Ì›
W * CON CON Ê
W * ADJ ADJ,SIM ›—«„Ê‘
W * V V,SUB,POS,3 ‘Êœ
W * DELM DELM .
W * P P «“
W * N N,SING,LOC,PR „ﬂÂ
W * N N,SING,COM ÂÃ— 
W * V V,PRS,POS,3 „Ì ﬂ‰œ
W * CON CON ﬂÂ
W * ADV ADV,GENR,SIM „»«œ«
W * N N,SING,COM,GEN ÅÌ«„
W * N N,SING,COM „ﬁ«Ê„ 
W * CON CON Ê
W * N N,SING,COM,AFF,3 ÃÂ«œ‘
W * ADJ ADJ,SIM ›—«„Ê‘
W * V V,SUB,POS,3 ê—œœ
W * DELM DELM .
W * P P »Â
W * N N,SING,PR „Õ„œ»‰ Õ‰›ÌÂ
W * V V,PRS,POS,3 „Ì êÊÌœ
W * DELM DELM :
W * CON CON Ì«
W * AR AR «ŒÌ
W * AR AR ﬁœ
W * AR AR Œ›  «‰
W * AR AR Ì€ «·‰Ì
W * AR AR Ì“Ìœ
W * AR AR »‰
W * AR AR „⁄«ÊÌÂ
W * AR AR ›Ì
W * AR AR «·Õ—„
W * AR AR ›«ﬂÊ‰
W * AR AR «·–Ì
W * AR AR Ì” »«Õ
W * AR AR »Â
W * AR AR Õ—„Â
W * AR AR Â–«
W * AR AR «·»Ì 
W * DELM DELM .
W * P P «“
W * N N,SING,COM,INDF ”ÊÌÌ
W * N N,SING,SURN «„«„
W * N N,SING,PR Õ”Ì‰
W * DELM DELM ª
W * N N,SING,SURN ⁄
W * DELM DELM ´
W * P P «“
W * N N,SING,COM  —Ê—
W * PRO PRO,DEMO,SING ¬‰
W * CON CON Â„
W * P P œ—
W * N N,SING,COM,GEN Õ—Ì„
W * N N,SING,LOC,GEN Œ«‰Â
W * N N,SING,LOC,PR ﬂ⁄»Â
W * N N,SING,COM Å—ÂÌ“
W * V V,PRS,POS,3 „Ì ﬂ‰œ
W * DELM DELM .
W * CON CON Ê
W * P P «“
W * N N,SING,COM,GEN ”ÊÌ
W * ADJ ADJ,SIM œÌê—
W * P P «“
W * N N,SING,COM „—ê
W * N N,SING,COM,INDF Å·Ì
W * P P,GEN »—«Ì
W * N N,SING,COM ÅÌ—Ê“Ì
W * V V,PRS,POS,3 „Ì «›—«“œ
W * DELM DELM .
W * N N,SING,COM  ÊÃÂ
W * P P »Â
W * N N,SING,COM „—ê
W * P P œ—
W * N N,SING,NUM ç‰œ
W * N N,SING,COM „—Õ·Â
W * CON CON Ê
W * N N,SING,COM,GEN „‰“·
W * ADJ ADJ,SIM œÌê—
W * CON CON ‰Ì“
W * CON CON ç‰«‰ﬂÂ
W * N N,SING,COM «‘«—Â
W * V V,PA,SIM,POS,1 ﬂ—œ„
W * N N,SING,COM ’Ê— 
W * V V,PRS,POS,3 „Ì êÌ—œ
W * DELM DELM .
W * P P »Â
W * N N,SING,COM,GEN œ·Ì·
W * N N,SING,COM,GEN «Â„Ì 
W * N N,SING,COM „Ê÷Ê⁄
W * DET DET ¬‰
W * N N,PL,COM „Ê«—œ
W * RA RA —«
