Sub * SUBJ SUBJ !”Ì«”Ì!
W * N N,SING,PR,GEN „ÂœÌ
W * N N,SING,PR ﬂ—Ê»Ì
W * N N,SING,COM,GEN —∆Ì”
W * ADJ ADJ,SIM,GEN „Êﬁ 
W * N N,SING,COM,GEN „Ã·”
W * ADJ ADJ,ORD ‘‘„
W * ADV ADV,GENR,TIME œÌ—Ê“
W * N N,SING,COM «⁄·«„
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM :
W * N N,SING,COM,GEN „Ã·”
W * ADJ ADJ,ORD ‘‘„
W * DELM DELM °
W * P P »—
W * N N,SING,COM,GEN „»‰«Ì
W * N N,PL,COM «—“‘Â«
W * CON CON Ê
W * N N,PL,COM,GEN «’Ê·
W * N N,SING,COM «‰ﬁ·«»
W * N N,SING,COM Õ—ﬂ 
W * V V,PRS,POS,3 „Ì ﬂ‰œ
W * DELM DELM °
W * CON CON «„«
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,COM —«Â
W * DELM DELM °
W * N N,SING,COM,GEN „”Ì—
W * N N,PL,COM «’·«Õ« 
W * RA RA —«
W * ADJ ADJ,INO »—ê“ÌœÂ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * N N,SING,PR,GEN „ÂœÌ
W * N N,SING,PR ﬂ—Ê»Ì
W * CON CON ﬂÂ
W * P P »«
W * N N,PL,COM,GEN Œ»—‰ê«—«‰
W * ADJ ADJ,SIM Å«—·„«‰Ì
W * N N,SING,COM ”Œ‰
W * V V,PA,PRG,POS,3 „Ì ê› 
W * DELM DELM °
W * N N,SING,COM,GEN ÊÌéêÌ
W * N N,SING,COM,GEN „Ã·”
W * ADJ ADJ,ORD ‘‘„
W * RA RA —«
W * N N,SING,COM,GEN  œ«Ê„
W * N N,PL,COM «’·«Õ« 
W * CON CON Ê
W * N N,SING,COM  √ﬂÌœ
W * P P »—
W * N N,PL,COM,GEN «—“‘Â«Ì
W * N N,SING,COM «‰ﬁ·«»
W * N N,SING,COM –ﬂ—
W * V V,PA,SIM,POS,3 ﬂ—œ
W * CON CON Ê
W * V V,PA,SIM,POS,3 ê› 
W * CON CON ﬂÂ
W * N N,PL,COM,GEN «‰ Œ«»« 
W * N N,SING,COM,GEN „Ã·”
W * ADJ ADJ,ORD ‘‘„
W * DELM DELM °
W * P P œ—
W * N N,SING,COM,GEN —«” «Ì
W * N N,PL,COM,GEN «‰ Œ«»« 
W * N N,SING,ORD,GEN œÊ„
W * N N,SING,MON,GEN Œ—œ«œ
W * N N,SING,NUM 67
W * V V,PA,SIM,POS,3 »Êœ
W * CON CON Ê
W * N N,SING,GR „—œ„
W * P P »«
W * N N,SING,COM,GEN —√Ì
W * PRO PRO,R,XOD ŒÊœ
W * N N,SING,COM ‰‘«‰
W * V V,PA,SIM,POS,6 œ«œ‰œ
W * CON CON ﬂÂ
W * N N,SING,COM,GEN ŒÊ«Â«‰
W * N N,SING,COM «œ«„Â
W * N N,SING,NFL,GEN Ì«› ‰
W * DET DET Â„«‰
W * N N,PL,COM »—‰«„Â Â«
W * V V,PRS,POS,6 Â” ‰œ
W * DELM DELM .
W * N N,SING,COM,GEN —∆Ì”
W * ADJ ADJ,SIM,GEN „Êﬁ 
W * N N,SING,COM,GEN „Ã·”
W * ADJ ADJ,ORD ‘‘„
W * DELM DELM °
W * N N,SING,COM,GEN «Õ „«·
W * ADJ ADJ,SIM „—œÊœ
W * N N,SING,NFL,GEN ‘œ‰
W * N N,SING,COM,GEN «⁄ »«—‰«„Â
W * N N,PL,COM ‰„«Ì‰œê«‰
W * RA RA —«
W * ADJ ADJ,SIM ÷⁄Ì›
W * V V,PA,SIM,POS,3 œ«‰” 
W * CON CON Ê
W * N N,SING,COM  √ﬂÌœ
W * V V,PA,SIM,POS,3 ﬂ—œ
W * CON CON ﬂÂ
W * N N,SING,COM,GEN «⁄ »«—‰«„Â
W * N N,PL,COM ‰„«Ì‰œê«‰
W * P P «“
W * N N,PL,COM,GEN ’«›ÌÂ«Ì
W * ADJ ADJ,SIM,INDF „ ⁄œœÌ
W * V V,PRS,POS,3 „Ì ê–—œ
W * DELM DELM .
W * N N,SING,PR ﬂ—Ê»Ì
W * N N,SING,COM «ŸÂ«—
W * V V,PA,SIM,POS,3 œ«‘ 
W * DELM DELM :
W * N N,SING,COM,GEN ’·«ÕÌ 
W * DET DET «Ì‰
W * N N,PL,COM ‰„«Ì‰œê«‰
W * P P,GEN  Ê”ÿ
W * N N,SING,COM,GEN ‰Ÿ«— 
W * N N,SING,LOC ‘Â—” «‰
W * DELM DELM °
W * N N,SING,LOC «” «‰
W * CON CON Ê
W * N N,SING,COM,GEN ‰Ÿ«— 
W * ADJ ADJ,SIM „—ﬂ“Ì
W * CON CON Ê
W * CON CON ‰Ì“
W * N N,SING,GR,GEN ‘Ê—«Ì
W * N N,SING,COM ‰êÂ»«‰
W * N N,SING,COM  √ÌÌœ
W * ADJ ADJ,INO ‘œÂ
W * V V,PRE,SIM «” 
W * CON CON Ê
W * P P »Â
W * N N,SING,COM,GEN ‰Ÿ—
W * V V,PRS,NEG,3 ‰„Ì —”œ
W * CON CON ﬂÂ
W * N N,SING,COM,INDF „‘ﬂ·Ì
W * ADJ ADJ,SIM ÃœÌ
W * P P œ—
W * N N,SING,COM,GEN „Ã·”
W * ADJ ADJ,ORD ‘‘„
W * P P,GEN »—«Ì
W * N N,SING,COM,GEN  √ÌÌœ
W * N N,SING,COM,GEN ’·«ÕÌ 
W * N N,PL,COM ‰„«Ì‰œê«‰
W * N N,SING,COM ÅÌ‘
W * V V,SUB,POS,3 »Ì«Ìœ
W * DELM DELM .
W * N N,SING,COM,GEN —∆Ì”
W * ADJ ADJ,SIM,GEN „Êﬁ 
W * N N,SING,COM,GEN „Ã·”
W * ADJ ADJ,ORD ‘‘„
W * CON CON œ—⁄Ì‰ Õ«·
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * IF IF «ê—
W * N N,SING,COM,INDF „Ê—œÌ
W * ADJ ADJ,SIM Œ«’
W * V V,PA,SIM,POS,3 »Êœ
W * CON CON ﬂÂ
W * P P «“
W * N N,SING,COM,GEN ç‘„
W * N N,PL,COM,GEN ‰«Ÿ—«‰
W * ADJ ADJ,SIM ﬁ»·Ì
W * ADJ ADJ,INO »«“„«‰œÂ
W * V V,PA,SIM,POS,3 »Êœ
W * DELM DELM °
W * V V,AUX,NIN,POS »«Ìœ
W * P P »«
W * N N,SING,COM,GEN Õ›Ÿ
W * N N,SING,COM «œ»
W * CON CON Ê
W * N N,SING,COM Õ—„ 
W * DELM DELM °
W * N N,PL,COM,GEN ‰ﬁ«ÿ
W * N N,SING,COM,GEN ÷⁄›
W * N N,SING,COM,GEN ‰„«Ì‰œÂ
W * ADJ ADJ,SIM „“»Ê—
W * ADJ ADJ,SIM „ÿ—Õ
W * V V,SUB,POS,3 ‘Êœ
W * CON CON Ê
W * PRO PRO,personal,SING,3 «Ê
W * CON CON ‰Ì“
W * N N,SING,COM,GEN Õﬁ
W * N N,SING,COM œ›«⁄
W * P P «“
W * PRO PRO,R,XOD ŒÊœ
W * RA RA —«
W * ADJ ADJ,INO œ«‘ Â
W * V V,SUB,POS,3 »«‘œ
W * DELM DELM .
W * PRO PRO,personal,SING,3 ÊÌ
W * N N,SING,COM Œ«ÿ—‰‘«‰
W * V V,PA,SIM,POS,3 ﬂ—œ
W * CON CON ﬂÂ
W * N N,SING,COM,GEN  √ﬂÌœ
W * N N,PL,COM,GEN ‰„«Ì‰œê«‰
W * N N,SING,COM,GEN „Ã·”
W * ADJ ADJ,ORD ‘‘„
W * PRO PRO,DEMO,SING «Ì‰
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * SPEC SPEC ç‰Ì‰
W * N N,PL,COM,INDF „Ê«—œÌ
W * P P »Â
W * N N,SING,COM Õœ«ﬁ·
W * V V,SUB,POS,3 »—”œ
W * CON CON Ê
W * N N,SING,COM,GEN  √ÌÌœ
W * N N,SING,COM,GEN «⁄ »«—‰«„Â
W * N N,PL,COM ‰„«Ì‰œê«‰
W * DELM DELM °
W * N N,SING,COM,GEN Õ«· 
W * ADJ ADJ,SIM ”Ì«”Ì
W * CON CON Ê
W * N N,SING,COM ê—Êﬂ‘Ì
W * ADJ ADJ,SIM ÅÌœ«
W * V V,SUB,NEG,3 ‰ﬂ‰œ
W * DELM DELM .
W * N N,SING,PR ﬂ—Ê»Ì
W * P P œ—
W * N N,SING,COM Å«”Œ
W * P P »Â
W * N N,SING,NUM,INDF ÌﬂÌ
W * P P «“
W * N N,PL,COM Œ»—‰ê«—«‰
W * CON CON ﬂÂ
W * P P,GEN œ—»«—Â
W * N N,PL,COM,GEN «ŸÂ«—« 
W * PRO PRO,personal,SING,3 «Ê
W * P P œ—
W * N N,SING,COM,GEN ’Õ‰
W * ADJ ADJ,SIM,GEN ⁄·‰Ì
W * N N,SING,COM „Ã·”
W * CON CON Ê
W * N N,SING,COM ”Œ‰êÊ
W * N N,SING,NFL,GEN ‰»Êœ‰
W * N N,SING,COM,GEN —∆Ì”
W * N N,SING,COM „Ã·”
W * N N,SING,COM ”ƒ«·
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM °
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * P P »Â
W * N N,SING,COM,GEN œ·Ì·
W * DET DET «Ì‰
W * CON CON ﬂÂ
W * ADV ADV,GENR,TIME ﬁ»·«
W * N N,SING,COM,GEN ‰«„
W * PRO PRO,personal,SING,1 „‰
W * P P »Â
W * N N,SING,COM,GEN ⁄‰Ê«‰
W * N N,SING,COM,GEN ﬂ«‰œÌœ«Ì
W * N N,SING,COM,GEN —Ì«” 
W * N N,SING,COM „Ã·”
W * ADJ ADJ,SIM „ÿ—Õ
W * V V,PA,SIM,POS,3 »Êœ
W * DELM DELM °
W * V V,PA,PRG,NEG,1 ‰„Ì ŒÊ«” „
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,COM »«—Â
W * N N,SING,COM,INDF Õ—›Ì
W * V V,SUB,POS,1 »“‰„
W * CON CON  «
W * N N,SING,COM,INDF ‘«∆»Â «Ì
W * N N,SING,COM ÅÌ‘
W * V V,SUB,POS,3 ¬Ìœ
W * DELM DELM .
W * N N,SING,COM,GEN œ»Ì—
W * N N,SING,COM,GEN „Ã„⁄
W * N N,PL,COM —ÊÕ«‰ÌÊ‰
W * N N,SING,COM,GEN »—Ê“
W * N N,SING,COM ‘ﬂ«›
W * P P,GEN „Ì«‰
W * N N,SING,COM,GEN „Ã„⁄
W * N N,PL,COM —ÊÕ«‰ÌÊ‰
W * CON CON Ê
W * N N,SING,COM,GEN Ã»ÂÂ
W * N N,SING,COM „‘«—ﬂ 
W * RA RA —«
W * N N,SING,COM —œ
W * V V,PA,SIM,POS,3 ﬂ—œ
W * CON CON Ê
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * PRO PRO,personal,PL,1 „«
W * P P »«
W * QUA QUA Â„Â
W * N N,SING,COM œÊ” 
W * V V,PRS,POS,4 Â” Ì„
W * DELM DELM .
W * N N,SING,COM,GEN —∆Ì”
W * ADJ ADJ,SIM,GEN „Êﬁ 
W * N N,SING,COM,GEN „Ã·”
W * ADJ ADJ,ORD ‘‘„
W * DELM DELM °
W * N N,SING,COM,GEN Õ÷Ê—
W * N N,PL,COM,GEN ‰„«Ì‰œê«‰
W * N N,SING,COM “‰
W * P P œ—
W * N N,SING,GR,GEN ÂÌ√  —∆Ì”Â
W * N N,SING,COM „Ã·”
W * RA RA —«
W * N N,SING,COM,INDF ÅœÌœÂ «Ì
W * ADJ ADJ,SIM „Ì„Ê‰
W * CON CON Ê
W * ADJ ADJ,SIM „»«—ﬂ
W * N N,SING,COM  Ê’Ì›
W * V V,PA,SIM,POS,3 ﬂ—œ
W * CON CON Ê
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * DET DET «Ì‰
W * N N,SING,COM «„—
W * N N,SING,COM,GEN ‰‘«‰ œÂ‰œÂ
W * N N,SING,COM  œ»Ì—
W * CON CON Ê
