Sub * SUBJ SUBJ !”Ì«”Ì!
W * N N,SING,COM,GEN ⁄œ„
W * N N,SING,COM,GEN Õ«ﬂ„Ì 
W * N N,SING,COM ﬁ«‰Ê‰
W * DELM DELM °
W * N N,SING,COM »Ì  ÊÃÂÌ
W * P P »Â
W * N N,SING,COM,GEN Ã«Ìê«Â
W * N N,SING,GR „—œ„
W * CON CON Ê
W * N N,PL,COM,GEN ‘∆Ê‰
W * N N,PL,COM,GEN ¬“«œÌÂ«Ì
W * ADJ ADJ,SIM „’—Õ
W * P P œ—
W * N N,SING,COM,GEN ﬁ«‰Ê‰
W * ADJ ADJ,SIM «”«”Ì
W * DELM DELM °
W * N N,SING,COM,GEN ‘ﬂ«›
W * N N,SING,COM œÊ· 
W * DELM DELM -
W * N N,SING,GR „· 
W * DELM DELM °
W * N N,PL,COM,GEN —«‰ Â«Ì
W * ADJ ADJ,SIM ”Ì«”Ì
W * DELM DELM -
W * ADJ ADJ,SIM «ﬁ ’«œÌ
W * P P,GEN »—«Ì
W * N N,PL,COM «‘Œ«’
W * CON CON Ê
W * N N,PL,COM,GEN ‰Â«œÂ«Ì
W * ADJ ADJ,SIM Œ«’
W * DELM DELM °
W * N N,SING,COM,GEN ⁄œ„
W * N N,SING,COM,GEN ‘ﬂ· êÌ—Ì
W * N N,PL,COM,GEN ‰Â«œÂ«Ì
W * ADJ ADJ,SIM,GEN ‰Ÿ«— Ì
W * ADJ ADJ,SIM „—œ„Ì
W * CON CON Ê
W * ADJ ADJ,SIM ﬁœ— „‰œ
W * ADV ADV,GENR,EXM,GEN ‰ŸÌ—
W * N N,PL,COM «Õ“«»
W * CON CON Ê
W * N N,PL,COM,GEN ”«“„«‰Â«Ì
W * ADJ ADJ,SIM ”Ì«”Ì
W * CON CON Ê
W * N N,PL,COM,GEN  ‘ﬂ·Â«Ì
W * ADJ ADJ,SIM ’‰›Ì
W * DELM DELM °
W * N N,PL,COM,GEN »—ŒÊ—œÂ«Ì
W * ADJ ADJ,SIM ”·ÌﬁÂ «Ì
W * CON CON Ê
W * ADJ ADJ,SIM €Ì—ﬁ«‰Ê‰Ì
W * P P »«
W * N N,PL,COM ‘Œ’Ì Â«
W * CON CON Ê
W * N N,PL,COM,GEN çÂ—Â Â«Ì
W * ADJ ADJ,SIM ”Ì«”Ì
W * CON CON Ê
W * N N,PL,COM —Ê“‰«„Â ‰ê«—«‰
W * CON CON Ê
W * N N,SING,COM,GEN ‰Â«œ
W * N N,PL,COM „ÿ»Ê⁄« 
W * DELM DELM °
W * N N,SING,COM,GEN ⁄œ„
W * N N,SING,COM,GEN Å«”ŒêÊÌÌ
W * N N,PL,COM,GEN ‰Â«œÂ«Ì
W * ADJ ADJ,SIM „”∆Ê·
W * DELM DELM °
W * N N,SING,COM,GEN ‰›Ê–
W * N N,PL,COM,GEN «ﬁ œ«—ê—«Ì«‰
W * ADJ ADJ,SIM ﬁ«‰Ê‰ ê—Ì“
W * P P œ—
W * QUA QUA »—ŒÌ
W * N N,PL,COM,GEN „—«ﬂ“
W * ADJ ADJ,SIM Õ”«”
W * CON CON Ê
W * DELM DELM ...
W * PRO PRO,INDF,SING Â„êÌ
W * P P «“
W * SPEC SPEC Ã„·Â
W * N N,PL,COM,INDF ‰ﬂ« Ì
