Sub * SUBJ SUBJ !Ê—“‘Ì!
W * P P œ—
W * ADJ ADJ,ORD œÂ„Ì‰
W * N N,SING,COM,GEN œÊ—Â
W * N N,PL,COM,GEN „”«»ﬁ« 
W * ADJ ADJ,SIM,GEN »Ì‰ «·„··Ì
W * N N,SING,COM,GEN ﬂ‘ Ì
W * ADJ ADJ,SIM ¬“«œ
W * CON CON Ê
W * ADJ ADJ,SIM,GEN ›—‰êÌ
W * N N,PL,COM ‰ÊÃÊ«‰«‰
W * CON CON ﬂÂ
W * P P »«
W * N N,SING,COM,GEN ‘—ﬂ 
W * N N,SING,NUM 196
W * N N,SING,COM ﬂ‘ Ì êÌ—
W * P P œ—
W * N N,SING,COM,GEN ﬁ«·»
W * N N,SING,NUM çÂ«—
W * N N,SING,GR  Ì„
W * P P «“
W * N N,PL,LOC,GEN ﬂ‘Ê—Â«Ì
W * N N,SING,LOC,PR ﬁÿ—
W * DELM DELM °
W * N N,SING,LOC,PR «—„‰” «‰
W * DELM DELM °
W * N N,SING,LOC,PR ê—Ã” «‰
W * DELM DELM °
W * N N,SING,LOC,PR,GEN ¬›—Ìﬁ«Ì
W * ADJ ADJ,SIM Ã‰Ê»Ì
W * CON CON Ê
W * N N,SING,NUM çÂ«—
W * N N,SING,GR  Ì„
W * P P «“
W * N N,SING,LOC,PR «Ì—«‰
W * P P «“
W * N N,SING,TIME,GEN —Ê“
W * N N,SING,DAY Ã„⁄Â
W * P P œ—
W * N N,SING,LOC,GEN Ê—“‘ê«Â
W * N N,SING,COM,GEN ¬“«œÌ
W * N N,SING,LOC,PR ”‰‰œÃ
W * N N,SING,ORD ¬€«“
W * ADJ ADJ,INO ‘œÂ
W * V V,PA,SIM,POS,3 »Êœ
W * DELM DELM °
W * N N,SING,GR,GEN  Ì„
W * N N,SING,COM,GEN ﬂ‘ Ì
W * ADJ ADJ,SIM ¬“«œ
W * CON CON Ê
W * ADJ ADJ,SIM,GEN ›—‰êÌ
W * N N,SING,LOC,PR «Ì—«‰
W * P P œ—
W * QUA QUA Â—
W * N N,SING,NUM œÊ
W * N N,SING,COM —‘ Â
W * P P »«
W * N N,SING,COM,GEN ﬂ”»
W * N N,SING,NUM 98
W * CON CON Ê
W * N N,SING,NUM 99
W * N N,SING,COM «„ Ì«“
W * N N,SING,COM,GEN ﬁÂ—„«‰
W * DET DET «Ì‰
W * N N,SING,COM œÊ—Â
W * P P «“
W * N N,PL,COM —ﬁ«» Â«
W * ADJ ADJ,INO ‘‰«Œ Â
W * V V,PA,SIM,POS,3 ‘œ
W * DELM DELM .
W * P P œ—
W * N N,SING,COM,GEN ﬂ‘ Ì
W * ADJ ADJ,SIM ¬“«œ
W * N N,PL,GR,GEN  Ì„Â«Ì
W * N N,SING,LOC,PR ê—Ã” «‰
W * CON CON Ê
