Sub * SUBJ SUBJ !Ê—“‘Ì!
W * N N,PL,COM,GEN —Ê«»ÿ
W * ADJ ADJ,SIM,GEN ⁄„Ê„Ì
W * N N,SING,COM,GEN ›œ—«”ÌÊ‰
W * N N,SING,COM ›Ê »«·
W * N N,SING,COM «⁄·«„
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM :
W * N N,SING,NUM 20
W * N N,SING,COM,GEN »«“Ìﬂ‰
W * P P,GEN »—«Ì
W * N N,SING,COM Õ÷Ê—
W * P P œ—
W * N N,PL,COM,GEN —ﬁ«» Â«Ì
W * ADJ ADJ,SIM,GEN »Ì‰ «·„··Ì
W * ADJ ADJ,SIM,GEN çÂ«—Ã«‰»Â
W * N N,SING,LOC,PR  Â—«‰
W * P P »Â
W * N N,SING,COM,GEN «—œÊÌ
W * N N,SING,GR,GEN  Ì„
W * ADJ ADJ,SIM,GEN „·Ì
W * N N,SING,COM,GEN ›Ê »«·
W * N N,SING,LOC,PR «Ì—«‰
W * N N,SING,COM œ⁄Ê 
W * V V,PA,SIM,POS,6 ‘œ‰œ
W * DELM DELM .
W * N N,PL,COM,GEN —ﬁ«» Â«Ì
W * ADJ ADJ,SIM,GEN çÂ«—Ã«‰»Â
W * N N,SING,LOC,PR  Â—«‰
W * N N,SING,COM,GEN Ã«„
W * N N,SING,NPR «· . ÃÌ
W * P P «“
W * N N,SING,TIME,GEN —Ê“
W * N N,SING,DAY çÂ«—‘‰»Â
W * N N,SING,NUM 18
W * N N,SING,MON Œ—œ«œ
W * N N,SING,TIME,GEN „«Â
W * ADJ ADJ,SIM Ã«—Ì
W * P P »«
W * N N,SING,COM,GEN Õ÷Ê—
W * N N,PL,GR,GEN  Ì„Â«Ì
W * N N,SING,LOC,PR „’—
W * DELM DELM °
W * N N,SING,LOC,PR,GEN ﬂ—Â
W * ADJ ADJ,SIM Ã‰Ê»Ì
W * DELM DELM °
W * N N,SING,LOC,PR „ﬁœÊ‰ÌÂ
W * CON CON Ê
W * N N,SING,LOC,PR «Ì—«‰
W * P P œ—
W * N N,SING,COM,GEN Ê—“‘ê«Â
W * N N,SING,PR,GEN ¬“«œÌ
W * N N,SING,LOC,PR  Â—«‰
W * N N,SING,ORD ¬€«“
W * V V,PRS,POS,3 „Ì ‘Êœ
W * DELM DELM .
W * N N,PL,COM,GEN «”«„Ì
W * N N,PL,COM,GEN ‰›—« 
W * N N,SING,COM œ⁄Ê 
W * MORP MORP,MADJ ‘œÂ
W * P P »Â
W * DET DET «Ì‰
W * N N,SING,COM ‘—Õ
W * V V,PRE,SIM «” 
W * DELM DELM :
W * N N,SING,PR,GEN Å—ÊÌ“
W * N N,SING,PR »—Ê„‰œ
W * DELM DELM °
W * N N,SING,PR,GEN ”Â—«»
W * N N,SING,PR »Œ Ì«—Ì “«œÂ
W * DELM DELM °
W * N N,SING,PR,GEN »Â—Ê“
