Sub * SUBJ SUBJ !Ê—“‘Ì!
W * N N,SING,GR,GEN  Ì„
W * ADJ ADJ,SIM,GEN „·Ì
W * N N,SING,COM,GEN ›Ê »«·
W * N N,SING,LOC,PR «Ì—«‰
W * P P œ—
W * N N,SING,COM,GEN ç«—çÊ»
W * N N,PL,COM,GEN „”«»ﬁ« 
W * ADJ ADJ,SIM,GEN »Ì‰ «·„··Ì
W * N N,SING,DIR,GEN €—»
W * N N,SING,LOC,PR ¬”Ì«
W * CON CON ﬂÂ
W * P P œ—
W * N N,SING,LOC,GEN «” «œÌÊ„
W * N N,SING,SURN „·ﬂ
W * N N,SING,PR,GEN ⁄»œ«··Â
W * N N,SING,LOC,PR «„«‰
W * ADJ ADJ,SIM »—ê“«—
W * V V,PRS,POS,3 „Ì ‘Êœ
W * P P »«
W * N N,SING,COM,GEN ‰ ÌÃÂ
W * N N,SING,NUM ”Â
W * P P »—
W * N N,SING,NUM ’›—
W * P P »—
W * N N,SING,GR,GEN  Ì„
W * N N,SING,LOC,PR ﬁ“«ﬁ” «‰
W * N N,SING,COM €·»Â
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM .
W * N N,SING,COM,GEN ê·
W * ADJ ADJ,ORD,GEN «Ê·
W * DET DET «Ì‰
W * N N,SING,COM »«“Ì
W * RA RA —«
W * N N,SING,PR,GEN ⁄·Ì
W * N N,SING,PR ﬂ—Ì„Ì
W * P P œ—
W * N N,SING,TIME,GEN œﬁÌﬁÂ
W * ADJ ADJ,ORD ”Ê„
W * DELM DELM °
W * N N,SING,COM,GEN ê·
W * ADV ADV,GENR,ORD œÊ„
W * RA RA —«
W * N N,SING,PR,GEN ÊÕÌœ
W * N N,SING,PR Â«‘„Ì«‰
W * P P œ—
W * N N,SING,TIME,GEN œﬁÌﬁÂ
W * ADJ ADJ,ORD «Ê·
W * P P «“
W * N N,SING,COM,GEN Êﬁ 
W * ADJ ADJ,SIM,GEN «÷«›Ì
W * N N,SING,COM,GEN ‰Ì„Â
W * ADJ ADJ,ORD «Ê·
W * CON CON Ê
W * N N,SING,COM,GEN ê·
W * ADJ ADJ,ORD ”Ê„
W * RA RA —«
W * N N,SING,PR,GEN ⁄·Ì
W * N N,SING,PR ﬂ—Ì„Ì
W * P P œ—
W * N N,SING,TIME,GEN œﬁÌﬁÂ
W * N N,SING,NUM 37
W * P P »«
W * N N,SING,COM,GEN ÷—»Â
W * N N,SING,COM ”—
W * P P »Â
W * N N,SING,COM À„—
W * V V,PA,SIM,POS,6 —”«‰œ‰œ
W * DELM DELM .
W * N N,SING,PR ”«·„
W * N N,SING,PR „Õ„Êœ
W * P P «“
W * N N,SING,LOC,PR «—œ‰
W * N N,SING,COM,GEN œ«Ê—
W * ADJ ADJ,SIM Ê”ÿ
W * CON CON Ê
W * N N,SING,PR ⁄·Ì
W * N N,SING,PR Œ·Ì›Â
W * P P «“
W * N N,SING,LOC,PR ﬁÿ—
W * CON CON Ê
W * N N,SING,PR ⁄“«„
W * N N,SING,PR «”„«⁄Ì·
W * CON CON Ê
W * N N,SING,PR ÿ·⁄ 
W * N N,SING,PR ‰Ã„
W * P P «“
W * N N,SING,LOC,PR ·»‰«‰
W * N N,PL,COM,GEN œ«Ê—«‰
W * ADJ ADJ,SIM ﬂ‰«—Ì
W * V V,PA,SIM,POS,6 »Êœ‰œ
W * DELM DELM .
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,COM »«“Ì
W * N N,SING,COM,GEN »— —Ì
W * N N,SING,GR,GEN  Ì„
W * N N,SING,LOC,PR «Ì—«‰
W * P P »—
W * N N,SING,GR,GEN  Ì„
W * N N,SING,LOC,PR ﬁ“«ﬁ” «‰
W * ADV ADV,deg,SIM ﬂ«„·«
W * ADJ ADJ,SIM „‘ÂÊœ
W * V V,PA,SIM,POS,3 »Êœ
W * CON CON Ê
W * ADV ADV,GENR,TIME Â„Ê«—Â
W * N N,SING,COM,GEN «» ﬂ«—
W * N N,SING,COM ⁄„·
W * RA RA —«
W * P P œ—
W * N N,SING,COM œ” 
W * V V,PA,SIM,POS,6 œ«‘ ‰œ
W * DELM DELM .
W * P P œ—
W * N N,SING,COM,GEN Œ·«·
W * N N,SING,COM »«“Ì
W * N N,SING,NUM œÊ
W * N N,SING,COM,GEN ﬂ«— 
W * ADJ ADJ,SIM “—œ
W * P P »Â
