Sub * SUBJ SUBJ !Ê—“‘Ì!
W * DELM DELM #
W * N N,SING,NUM 2
W * N N,SING,COM,GEN  ﬂÊ«‰œÊﬂ«—
W * ADJ ADJ,SIM «Ì—«‰Ì
W * P P «“
W * N N,SING,COM,GEN œÊ—
W * N N,PL,COM,GEN —ﬁ«» Â«Ì
W * N N,SING,LOC,PR ¬”Ì«
W * N N,SING,COM ﬂ‰«—
W * V V,PA,SIM,POS,6 —› ‰œ
W * DELM DELM .
W * DELM DELM #
W * P P œ—
W * N N,SING,COM,GEN «œ«„Â
W * ADJ ADJ,ORD çÂ«—œÂ„Ì‰
W * N N,SING,COM,GEN œÊ—Â
W * N N,PL,COM,GEN „”«»ﬁÂ Â«Ì
W * N N,SING,COM,GEN  ﬂÊ«‰œÊ
W * N N,SING,COM,GEN ﬁÂ—„«‰Ì
W * N N,SING,LOC,PR ¬”Ì«
W * CON CON Ê
W * N N,SING,LOC,PR «ﬁÌ«‰Ê”ÌÂ
W * CON CON ﬂÂ
W * P P œ—
W * N N,SING,LOC,PR Â‰ê ﬂ‰ê
W * N N,SING,COM Ã—Ì«‰
W * V V,PRS,POS,3 œ«—œ
W * DELM DELM °
W * N N,SING,TIME,GEN —Ê“
W * N N,SING,DAY œÊ‘‰»Â
W * N N,SING,NUM œÊ
W * N N,SING,COM  ‰
W * P P «“
W * N N,PL,COM  ﬂÊ«‰œÊﬂ«—«‰
W * N N,SING,LOC,AFF,4 ﬂ‘Ê—„«‰
W * P P »«
W * N N,SING,COM ‘ﬂ” 
W * P P «“
W * N N,PL,COM,GEN —ﬁ»«Ì
W * PRO PRO,R,XOD ŒÊœ
W * P P «“
W * N N,SING,COM,GEN œÊ—
W * DET DET «Ì‰
W * N N,PL,COM „”«»ﬁÂ Â«
W * N N,SING,COM ﬂ‰«—
W * V V,PA,SIM,POS,6 —› ‰œ
W * DELM DELM .
W * P P œ—
W * ADJ ADJ,ORD ”Ê„Ì‰
W * N N,SING,TIME,GEN —Ê“
W * DET DET «Ì‰
W * N N,PL,COM „”«»ﬁÂ Â«
W * DELM DELM °
W * N N,PL,COM,GEN —ﬁ«» Â«Ì
W * N N,PL,COM,GEN Ê“‰Â«Ì
W * ADJ ADJ,ORD ”Ê„
W * CON CON Ê
W * ADJ ADJ,ORD Â‘ „
W * ADJ ADJ,SIM »—ê“«—
W * V V,PA,SIM,POS,3 ‘œ
W * CON CON Ê
W * N N,SING,PR,GEN ÃÊ«œ
W * N N,SING,PR —÷«ÅÊ—
W * CON CON Ê
W * N N,SING,PR,GEN Â«œÌ
W * N N,SING,PR «›‘«—
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,NUM œÊ
W * N N,SING,COM Ê“‰
W * V V,PA,SIM,NEG,6 ‰ Ê«‰” ‰œ
W * N N,SING,GR,GEN  Ì„
W * N N,SING,LOC,PR «Ì—«‰
W * RA RA —«
W * N N,SING,COM,GEN ’«Õ»
W * N N,SING,COM „œ«·
W * V V,SUB,POS,6 ﬂ‰‰œ
W * DELM DELM .
W * P P œ—
W * N N,SING,COM,GEN Ê“‰
W * ADJ ADJ,ORD ”Ê„
W * DELM DELM °
W * N N,SING,PR,GEN ÃÊ«œ
W * N N,SING,PR —÷«ÅÊ—
W * P P œ—
W * N N,SING,COM,GEN œÊ—
W * ADJ ADJ,ORD «Ê·
W * N N,SING,COM «” —«Õ 
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM .
W * P P œ—
W * N N,SING,COM,GEN œÊ—
W * ADJ ADJ,ORD œÊ„
W * N N,SING,COM,GEN  ﬂÊ«‰œÊﬂ«—
