Sub * SUBJ SUBJ !«ﬁ ’«œÌ!
W * DELM DELM #
W * N N,SING,COM,GEN «ÿ·«⁄ÌÂÒ
W * N N,SING,COM,GEN »«‰ﬂ
W * ADJ ADJ,SIM,GEN „·Ì
W * N N,SING,LOC,PR «Ì—«‰
W * DELM DELM #
W * N N,SING,COM,GEN »«‰ﬂ
W * ADJ ADJ,SIM,GEN „·Ì
W * N N,SING,LOC,PR «Ì—«‰
W * P P »Â
W * N N,SING,COM,GEN „‰ŸÊ—
W * N N,SING,COM,GEN —›«Â
W * N N,SING,COM,GEN Õ«·
W * N N,PL,COM,GEN «Ì—«‰Ì«‰
W * ADJ ADJ,SIM,INDF „Õ —„Ì
W * CON CON ﬂÂ
W * P P œ—
W * N N,SING,COM Œ«—Ã
W * P P «“
W * N N,SING,LOC ﬂ‘Ê—
W * N N,SING,COM «ﬁ«„ 
W * ADJ ADJ,INO œ«‘ Â
W * CON CON Ê
W * N N,SING,COM,GEN ﬁ’œ
W * N N,SING,COM,GEN Å—œ«Œ 
W * N N,PL,COM,INDF ÊÃÊÂÌ
W * P P »Â
W * N N,SING,COM,GEN ‰›⁄
W * N N,PL,COM »” ê«‰
W * CON CON Ì«
W * N N,PL,COM,GEN ÿ—›Â«Ì
W * ADJ ADJ,SIM,GEN  Ã«—Ì
W * PRO PRO,R,XOD ŒÊœ
W * P P œ—
W * N N,SING,LOC,PR «Ì—«‰
W * V V,PRS,POS,6 œ«—‰œ
W * DELM DELM °
W * P P «“
W * N N,SING,COM,GEN ÿ—Ìﬁ
W * N N,SING,LOC,GEN ‘⁄»
W * PRO PRO,R,XOD ŒÊœ
W * P P œ—
W * N N,SING,LOC,PR «—ÊÅ«
W * DELM DELM °
W * N N,PL,COM,GEN „—«ﬂ“
W * N N,SING,LOC,PR ·‰œ‰
W * DELM DELM °
W * N N,SING,LOC,PR «‰ê·” «‰
W * DELM DELM _
W * N N,SING,LOC,PR ›—«‰ﬂ›Ê— 
W * DELM DELM °
W * N N,SING,LOC,PR ¬·„«‰
W * CON CON Ê
W * N N,SING,LOC,PR Å«—Ì”
W * DELM DELM °
W * N N,SING,LOC,PR ›—«‰”Â
W * DELM DELM °
W * N N,SING,COM «ﬁœ«„
W * P P »Â
W * N N,SING,COM,GEN Œ—Ìœ
W * N N,PL,COM,GEN «—“Â«Ì
W * PRO PRO,DEMO,PL ¬‰Â«
W * P P »«
W * N N,SING,COM,GEN ‰—Œ
W * ADJ ADJ,SIM  Ê«›ﬁÌ
W * CON CON ﬂÂ
W * ADJ ADJ,SIM,GEN „‘«»Â
W * N N,SING,COM,GEN ‰—Œ
W * N N,SING,COM »«“«—
W * V V,PRS,POS,3 „Ì »«‘œ
W * DELM DELM °
W * V V,PRS,POS,3 „Ì ‰„«Ìœ
W * DELM DELM .
W * N N,SING,COM,GEN «—“
W * ADJ ADJ,SIM,GEN —Ì«·Ì
W * ADJ ADJ,SIM ›—ÊŒ Â
W * MORP MORP,MADJ ‘œÂ
W * P P »Â
W * N N,SING,COM »«‰ﬂ
W * P P œ—
W * ADJ ADJ,SUP ”—Ì⁄  —Ì‰
W * N N,SING,COM,GEN “„«‰
W * ADJ ADJ,SIM „„ﬂ‰
W * P P »Â
W * N N,SING,COM,GEN ‰›⁄
W * N N,PL,COM,GEN ÿ—›Â«Ì
W * N N,SING,COM,GEN „Ê—œ
W * N N,SING,COM ‰Ÿ—
W * P P œ—
W * N N,SING,LOC,PR «Ì—«‰
W * N N,SING,COM ÕÊ«·Â
W * V V,AUX,FEA,POS,3 ŒÊ«Âœ
W * V V,PA,SIM,POS,3 ê—œÌœ
W * DELM DELM .
W * P P »Â
W * N N,SING,COM,GEN „‰ŸÊ—
W * N N,SING,COM,GEN «Œ–
W * N N,PL,COM,GEN «ÿ·«⁄« 
W * ADJ ADJ,CMPR Ã«„⁄ —
W * P P œ—
W * N N,SING,COM,GEN ’Ê— 
W * N N,SING,COM ‰Ì«“
W * P P »«
W * N N,SING,LOC,GEN ‘⁄»
W * N N,SING,COM Ì«œ
W * MORP MORP,MADJ ‘œÂ
W * P P »«
