Sub * SUBJ SUBJ !Ê—“‘Ì!
W * N N,SING,GR,GEN  Ì„
W * ADJ ADJ,SIM,GEN „·Ì
W * N N,SING,COM,GEN  ﬂÊ«‰œÊ
W * N N,SING,LOC,PR «Ì—«‰
W * P P œ—
W * ADJ ADJ,ORD «Ê·Ì‰
W * N N,SING,TIME —Ê“
W * P P «“
W * ADJ ADJ,ORD çÂ«—œÂ„Ì‰
W * N N,SING,COM,GEN œÊ—Â
W * N N,PL,COM,GEN „”«»ﬁÂ Â«Ì
W * N N,SING,COM,GEN  ﬂÊ«‰œÊ
W * N N,SING,COM,GEN ﬁÂ—„«‰Ì
W * N N,SING,LOC,PR ¬”Ì«
W * CON CON ﬂÂ
W * P P œ—
W * N N,SING,LOC,PR,GEN Â‰ê ﬂ‰ê
W * N N,SING,LOC,PR çÌ‰
W * N N,SING,COM Ã—Ì«‰
W * V V,PRS,POS,3 œ«—œ
W * DELM DELM °
W * P P »Â
W * N N,SING,NUM 2
W * N N,SING,COM,GEN „œ«·
W * N N,SING,COM »—‰“
W * N N,SING,COM œ” 
W * V V,PA,SIM,POS,3 Ì«› 
W * DELM DELM .
W * N N,SING,PR,GEN ⁄·Ì
W * N N,SING,PR —«„‘ê—
W * P P œ—
W * N N,SING,COM,GEN Ê“‰
W * ADJ ADJ,ORD «Ê·
W * CON CON Ê
W * N N,SING,PR,GEN ›—Ì»—“
W * N N,SING,PR ⁄”ê—Ì
W * P P œ—
W * N N,SING,COM,GEN Ê“‰
W * ADJ ADJ,ORD Å‰Ã„
W * DELM DELM °
W * N N,SING,NUM œÊ
W * N N,SING,COM,GEN ‰„«Ì‰œÂ
W * N N,SING,LOC,AFF,4 ﬂ‘Ê—„«‰
W * P P œ—
W * ADJ ADJ,ORD «Ê·Ì‰
W * N N,SING,TIME,GEN —Ê“
W * N N,PL,COM „”«»ﬁ« 
W * V V,PA,SIM,POS,6 »Êœ‰œ
W * CON CON ﬂÂ
W * P P »Â
W * N N,SING,COM,GEN „ﬁ«„
W * ADJ ADJ,ORD,GEN ”Ê„
W * N N,SING,LOC,PR ¬”Ì«
W * CON CON Ê
W * N N,SING,COM,GEN „œ«·
W * N N,SING,COM »—‰“
W * N N,SING,COM œ” 
W * V V,PA,SIM,POS,6 Ì«› ‰œ
W * DELM DELM .
W * N N,SING,PR —«„‘ê—
W * P P œ—
W * ADJ ADJ,ORD «Ê·Ì‰
W * N N,SING,COM,GEN „»«—“Â
W * PRO PRO,R,XOD ŒÊœ
W * P P œ—
W * N N,SING,COM,GEN »—«»—
W * N N,SING,COM,INDF Õ—Ì›Ì
W * P P «“
W * N N,SING,LOC,PR Â‰ê ﬂ‰ê
W * N N,SING,NUM 6
W * P P »—
W * N N,SING,NUM ’›—
W * ADJ ADJ,SIM ÅÌ—Ê“
W * V V,PA,SIM,POS,3 ‘œ
W * CON CON Ê
W * CON CON ”Å”
W * N N,SING,COM,INDF Õ—Ì›Ì
W * P P «“
W * N N,SING,LOC,PR Â‰œ
W * RA RA —«
W * P P »«
W * DET DET Â„Ì‰
W * N N,SING,COM ‰ ÌÃÂ
W * ADJ ADJ,SIM „€·Ê»
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM .
W * PRO PRO,personal,SING,3 ÊÌ
W * P P œ—
W * ADJ ADJ,ORD ”Ê„Ì‰
W * N N,SING,COM,GEN „»«—“Â
W * PRO PRO,R,XOD ŒÊœ
W * P P œ—
W * N N,SING,COM,GEN »—«»—
W * N N,SING,COM,INDF Õ—Ì›Ì
W * P P «“
W * N N,SING,LOC,PR,GEN ﬂ—Â
W * ADJ ADJ,SIM Ã‰Ê»Ì
W * N N,SING,COM ﬁ—«—
W * V V,PA,SIM,POS,3 ê—› 
W * CON CON Ê
W * P P œ—
W * N N,SING,COM,INDF Õ«·Ì
W * CON CON ﬂÂ
W * N N,SING,COM,GEN Êﬁ 
W * ADJ ADJ,ORD «Ê·
W * RA RA —«
W * P P »«
W * N N,SING,COM,GEN ‰ ÌÃÂ
W * N N,SING,NUM Ìﬂ
W * P P »—
W * N N,SING,NUM ’›—
W * P P »Â
W * N N,SING,COM,GEN ‰›⁄
W * PRO PRO,R,XOD ŒÊœ
W * P P »Â
W * N N,SING,ORD Å«Ì«‰
W * ADJ ADJ,INO —”«‰œÂ
W * V V,PA,SIM,POS,3 »Êœ
W * DELM DELM °
