Sub * SUBJ SUBJ !”Ì«”Ì!
W * N N,SING,COM,GEN —Â»—
W * N N,SING,COM «‰ﬁ·«»
W * DELM DELM :
W * N N,SING,NUM,INDF ÌﬂÌ
W * P P «“
W * N N,PL,COM,GEN œ—œÂ«Ì
W * ADJ ADJ,SIM,GEN »“—ê
W * N N,SING,COM,GEN œ‰Ì«Ì
W * N N,SING,COM «”·«„
W * DELM DELM °
W * N N,SING,COM  ›—ﬁÂ
W * CON CON Ê
W * N N,SING,COM Ãœ«ÌÌ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * ADV ADV,GENR,TIME œÌ—Ê“
W * P P œ—
W * ADJ ADJ,SIM ŒÃ” Â
W * N N,SING,TIME,GEN ”«·—Ê“
W * N N,SING,COM,GEN „Ì·«œ
W * N N,SING,COM,GEN ‰»Ì
W * ADJ ADJ,SIM «ﬂ—„
W * CON CON Ê
W * N N,SING,COM,GEN Ê·«œ 
W * N N,SING,SURN,GEN Õ÷— 
W * N N,SING,SURN «„«„
W * N N,SING,PR,GEN Ã⁄›—
W * ADJ ADJ,SIM ’«œﬁ
W * DELM DELM °
W * N N,PL,COM,GEN —ƒ”«Ì
W * N N,PL,COM ﬁÊ«
W * DELM DELM °
W * N N,PL,COM „”∆Ê·«‰
W * CON CON Ê
W * N N,PL,COM,GEN ﬂ«—ê“«—«‰
W * N N,SING,COM,GEN ‰Ÿ«„
W * ADJ ADJ,SIM «”·«„Ì
W * DELM DELM °
W * N N,PL,COM,GEN „ÌÂ„«‰«‰
W * ADJ ADJ,SIM,GEN Œ«—ÃÌ
W * N N,SING,COM ‘—ﬂ  ﬂ‰‰œÂ
W * P P œ—
W * N N,SING,COM,GEN ﬂ‰›—«‰”
W * ADJ ADJ,SIM,GEN »Ì‰ «·„··Ì
W * N N,SING,COM,GEN ÊÕœ 
W * ADJ ADJ,SIM «”·«„Ì
W * CON CON Ê
W * N N,PL,COM,GEN ”›—«Ì
W * N N,PL,LOC,GEN ﬂ‘Ê—Â«Ì
W * ADJ ADJ,SIM «”·«„Ì
W * P P,GEN »—«Ì
W * N N,SING,COM,GEN ⁄—÷
W * N N,SING,COM,GEN  »—Ìﬂ
W * DET DET «Ì‰
W * N N,SING,TIME,GEN —Ê“
W * ADJ ADJ,SIM,GEN ›—Œ‰œÂ
W * P P »«
W * N N,SING,SURN,GEN Õ÷— 
W * N N,SING,SURN ¬Ì  «··Â
W * N N,SING,PR Œ«„‰Â «Ì
W * N N,SING,COM,GEN —Â»—
W * N N,SING,COM,GEN «‰ﬁ·«»
W * ADJ ADJ,SIM «”·«„Ì
W * N N,SING,COM œÌœ«—
W * V V,PA,SIM,POS,6 ﬂ—œ‰œ
W * DELM DELM .
W * N N,SING,SURN,GEN Õ÷— 
W * N N,SING,SURN ¬Ì  «··Â
W * N N,SING,PR Œ«„‰Â «Ì
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,COM œÌœ«—
W * DELM DELM °
W * P P »«
W * N N,SING,COM,GEN  »—Ìﬂ
W * N N,SING,TIME,GEN ”«·—Ê“
W * N N,SING,COM,GEN „Ì·«œ
W * ADJ ADJ,SIM,GEN „”⁄Êœ
W * N N,SING,COM,GEN ÅÌ«„»—
W * N N,SING,COM «”·«„
W * CON CON Ê
W * N N,SING,SURN «„«„
W * ADJ ADJ,SIM ’«œﬁ
W * P P »Â
W * QUA QUA,GEN ⁄„Ê„
W * N N,PL,COM,GEN „”·„«‰«‰
W * N N,SING,COM ÃÂ«‰
W * CON CON Ê
W * N N,SING,GR,GEN „· 
W * ADJ ADJ,SIM ‘—Ì›
W * CON CON Ê
W * ADJ ADJ,SIM,GEN »“—êÊ«—
W * N N,SING,LOC,PR «Ì—«‰
W * DELM DELM °
W * P P »«
W * N N,SING,COM «‘«—Â
W * P P »Â
W * N N,SING,COM ‘Œ’Ì 
W * CON CON Ê
W * N N,PL,COM,GEN «»⁄«œ
W * ADJ ADJ,SIM,GEN ⁄ŸÌ„
W * ADJ ADJ,SIM,GEN ÊÃÊœÌ
W * N N,SING,PR,GEN —”Ê·
W * ADJ ADJ,SIM,GEN ê—«„Ì
W * N N,SING,COM «”·«„
W * DELM DELM °
W * N N,SING,COM,GEN ÅÌ«„
W * ADJ ADJ,SIM,GEN Ê«·«Ì
W * DET DET ¬‰
W * N N,SING,PR Õ÷— 
