Sub * SUBJ SUBJ !Ê—“‘Ì!
W * N N,SING,COM,GEN «—œÊÌ
W * N N,SING,COM,GEN ¬„«œêÌ
W * N N,SING,GR,GEN  Ì„
W * N N,SING,COM,GEN Ê«·Ì»«·
W * N N,PL,COM,GEN ÃÊ«‰«‰
W * N N,SING,LOC,PR «Ì—«‰
W * P P,GEN »—«Ì
W * N N,SING,COM ‘—ﬂ 
W * P P œ—
W * ADJ ADJ,ORD œÂ„Ì‰
W * N N,SING,COM,GEN œÊ—Â
W * N N,PL,COM,GEN „”«»ﬁÂ Â«Ì
W * N N,SING,COM,GEN Ê«·Ì»«·
W * N N,SING,COM,GEN ﬁÂ—„«‰Ì
W * N N,PL,COM,GEN ÃÊ«‰«‰
W * N N,SING,LOC,PR ¬”Ì«
W * P P «“
W * N N,SING,TIME,GEN —Ê“
W * N N,SING,DAY Ìﬂ‘‰»Â
W * P P œ—
W * N N,SING,LOC,GEN ”«·‰
W * N N,SING,COM,GEN Ê«·Ì»«·
W * N N,SING,COM,GEN „Ã„Ê⁄Â
W * ADJ ADJ,SIM,GEN Ê—“‘Ì
W * N N,SING,COM,GEN ¬“«œÌ
W * N N,SING,LOC,PR  Â—«‰
W * N N,SING,COM  ‘ﬂÌ·
W * V V,PA,SIM,POS,3 ‘œ
W * DELM DELM .
W * ADJ ADJ,ORD œÂ„Ì‰
W * N N,SING,COM,GEN œÊ—Â
W * N N,PL,COM,GEN „”«»ﬁÂ Â«Ì
W * N N,SING,COM Ê«·Ì»«·
W * N N,SING,COM,GEN ﬁÂ—„«‰Ì
W * N N,PL,COM,GEN ÃÊ«‰«‰
W * N N,SING,LOC,PR ¬”Ì«
W * P P «“
W * N N,SING,TIME,GEN —Ê“
W * N N,SING,NUM,GEN 27
W * N N,SING,MON „—œ«œ
W * N N,SING,TIME,GEN „«Â
W * N N,SING,TIME,GEN ”«·
W * ADJ ADJ,SIM Ã«—Ì
W * P P »«
W * N N,SING,COM,GEN ‘—ﬂ 
W * N N,SING,NUM 13
W * N N,SING,GR  Ì„
W * P P œ—
W * N N,SING,LOC,PR  Â—«‰
W * N N,SING,ORD ¬€«“
W * V V,PRS,POS,3 „Ì ‘Êœ
W * CON CON Ê
W * N N,SING,GR,GEN  Ì„
W * N N,SING,LOC,PR «Ì—«‰
W * P P »Â
W * N N,SING,COM,GEN Â„—«Â
W * N N,PL,GR,GEN  Ì„Â«Ì
W * N N,SING,LOC,PR,GEN ﬂ—Â
W * ADJ ADJ,SIM ‘„«·Ì
W * CON CON Ê
W * N N,SING,LOC,PR Å«ﬂ” «‰
W * P P œ—
W * N N,SING,COM,GEN ê—ÊÂ
W * ADJ ADJ,ORD «Ê·
W * N N,SING,COM ﬁ—«—
W * V V,PRS,POS,3 œ«—œ
W * DELM DELM .
W * N N,PL,COM œ⁄Ê  ‘œê«‰
W * P P »Â
W * DET DET «Ì‰
W * ADJ ADJ,SIM «—œÊ
W * DELM DELM °
W * N N,SING,TIME Å”
W * P P «“
W * CON CON ¬‰ﬂÂ
W * N N,SING,TIME,GEN —Ê“
W * N N,SING,DAY,GEN çÂ«—‘‰»Â
W * N N,SING,TIME,GEN Â› Â
W * ADJ ADJ,SIM ê–‘ Â
W * P P œ—
W * N N,PL,COM,GEN ¬“„Ê‰Â«Ì
W * N N,SING,COM,GEN  Ê«‰
W * ADJ ADJ,SIM Ã”„«‰Ì
W * CON CON ﬂÂ
W * P P,GEN  Ê”ÿ
W * N N,PL,COM,GEN ﬂ«—‘‰«”«‰
W * N N,SING,GR,GEN ﬂ„Ì Â
W * ADJ ADJ,SIM,GEN „·Ì
W * N N,SING,COM «·„ÅÌﬂ
W * P P «“
W * PRO PRO,personal,PL,3 ¬‰«‰
W * P P »Â
W * N N,SING,COM ⁄„·
W * V V,PA,SIM,POS,3 ¬„œ
W * DELM DELM °
W * N N,SING,COM ‘—ﬂ 
W * V V,PA,SIM,POS,6 ﬂ—œ‰œ
W * DELM DELM °
W * P P »Â
W * N N,SING,COM,GEN „‰«”» 
W * N N,SING,DAY,GEN «—»⁄Ì‰
W * ADJ ADJ,SIM Õ”Ì‰Ì
W * ADJ ADJ,SIM „—Œ’
W * V V,PA,SIM,POS,6 ‘œ‰œ
W * CON CON Ê
W * P P «“
W * N N,SING,TIME,GEN —Ê“
W * N N,SING,DAY Ìﬂ‘‰»Â
W * N N,SING,COM,GEN »«—
W * ADJ ADJ,SIM œÌê—
W * N N,SING,COM,GEN  „—Ì‰Â«Ì
W * N N,SING,COM,GEN ¬„«œêÌ
W * PRO PRO,R,XOD ŒÊœ
W * RA RA —«
W * P P,GEN »—«Ì
W * N N,SING,COM,INDF Õ÷Ê—Ì
W * ADJ ADJ,SIM „Ê›ﬁ
W * P P œ—
W * N N,PL,COM,GEN ÅÌﬂ«—Â«Ì
W * ADJ ADJ,SIM ›Êﬁ
W * N N,SING,ORD ¬€«“
W * V V,PA,SIM,POS,6 ﬂ—œ‰œ
W * DELM DELM .
W * P P œ—
W * DET DET «Ì‰
W * ADJ ADJ,SIM «—œÊ
W * CON CON ﬂÂ
W * N N,SING,NUM 17
W * N N,SING,TIME —Ê“
W * P P »Â
W * N N,SING,COM ÿÊ·
W * V V,PRS,POS,3 „Ì «‰Ã«„œ
W * DELM DELM °
W * N N,SING,COM,GEN «‰Ã«„
W * N N,PL,COM,GEN  „—Ì‰« 
W * N N,SING,COM,GEN »œ‰”«“Ì
W * ADJ ADJ,SIM  Œ’’Ì
W * CON CON Ê
W * N N,PL,COM,GEN ﬂ«—Â«Ì
W * ADJ ADJ,SIM  «ﬂ ÌﬂÌ
W * N N,SING,COM,GEN ”—·ÊÕÂ
W * N N,SING,COM ﬂ«—
W * N N,SING,COM ﬁ—«—
W * V V,PRS,POS,3 œ«—œ
W * DELM DELM .
W * N N,SING,COM ﬁ—«—
W * V V,PRE,SIM «” 
W * N N,SING,NUM ç‰œ
W * N N,SING,COM,GEN œÌœ«—
W * ADJ ADJ,SIM,GEN  œ«—ﬂ« Ì
W * ADJ ADJ,SIM œ«Œ·Ì
W * P P »«
W * N N,PL,GR,INDF  Ì„Â«ÌÌ
W * ADV ADV,GENR,EXM Â„çÊ‰
W * N N,SING,PR ÅÌ—Ê“Ì
W * DELM DELM °
W * N N,SING,PR ’‰«„
W * CON CON Ê
W * N N,SING,PR »«“Ì«› 
W * N N,SING,COM «‰Ã«„
W * V V,SUB,POS,3 êÌ—œ
W * DELM DELM .
W * N N,SING,GR,GEN  Ì„
W * N N,SING,COM,GEN Ê«·Ì»«·
W * N N,PL,COM,GEN ÃÊ«‰«‰
W * N N,SING,LOC,PR «Ì—«‰
W * P P œ—
W * ADJ ADJ,ORD ‰Â„Ì‰
W * N N,SING,COM,GEN œÊ—Â
W * DET DET «Ì‰
W * N N,PL,COM ÅÌﬂ«—Â«
W * P P »—
W * N N,SING,COM,GEN ”ﬂÊÌ
W * N N,SING,COM ﬁÂ—„«‰Ì
W * V V,PA,SIM,POS,3 «Ì” «œ
W * DELM DELM .
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM,GEN —Ê“‰«„Â
W * ADJ ADJ,SIM é«Å‰Ì
W * V V,PA,SIM,POS,3 ‰Ê‘ 
W * DELM DELM :
W * N N,SING,PR,GEN ﬂ«Ÿ„
W * N N,SING,PR ”«—ÌŒ«‰Ì
W * N N,SING,COM,GEN ÃÊœÊﬂ«—
W * ADJ ADJ,SIM «Ì—«‰Ì
W * CON CON ﬂÂ
W * P P »«
W * N N,SING,COM «” ›«œÂ
W * P P «“
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM,GEN ›‰
W * N N,SING,COM ﬂ‘ Ì
W * V V,PA,SIM,POS,3  Ê«‰” 
W * P P »Â
W * N N,SING,COM,GEN ÅÌ—Ê“Ì
W * ADJ ADJ,SIM ﬂ«„·
W * P P œ—
W * N N,SING,COM,GEN „ﬁ«»·
W * N N,PL,COM,AFF,3 Õ—Ì›«‰‘
W * N N,SING,COM œ” 
W * V V,SUB,POS,3 Ì«»œ
W * DELM DELM °
W * ADJ ADJ,SIM  Õ”Ì‰ »—«‰êÌ“
W * V V,PA,SIM,POS,3 »Êœ
W * DELM DELM .
W * N N,SING,PR ÌÊ„ÌÊ—Ì
W * N N,SING,PR ‘Ì„»Ê‰
W * N N,SING,TIME,GEN —Ê“
W * N N,SING,DAY œÊ‘‰»Â
W * V V,PA,SIM,POS,3 «›“Êœ
W * DELM DELM :
W * N N,SING,PR ”«—ÌŒ«‰Ì
W * P P œ—
W * N N,SING,COM,GEN Ê“‰
W * N N,SING,NUM 18
W * N N,SING,COM ﬂÌ·Êê—„
W * ADJ ADJ,SIM „Ê›ﬁ
W * V V,PA,SIM,POS,3 ‘œ
W * P P »Â
W * ADJ ADJ,SIM,INDF ¬”«‰Ì
W * N N,SING,PR  «ﬂÌ
W * N N,SING,PR „Ê Ê
W * N N,SING,COM,GEN Õ—Ì›
W * ADJ ADJ,SIM,AFF,3 é«Å‰Ì «‘
W * RA RA —«
W * N N,SING,COM,GEN ÷—»Â
W * ADJ ADJ,SIM ›‰Ì
W * V V,SUB,POS,3 ﬂ‰œ
W * DELM DELM .
W * N N,SING,PR ”«—ÌŒ«‰Ì
W * P P œ—
W * N N,SING,COM,GEN Ã—Ì«‰
W * N N,PL,COM,GEN —ﬁ«» Â«Ì
W * N N,SING,COM,GEN ÃÊœÊ
W * N N,PL,COM,GEN »“—ê”«·«‰
W * N N,SING,LOC,PR ¬”Ì«
W * CON CON ﬂÂ
W * P P œ—
W * N N,SING,LOC,GEN ‘Â—
W * N N,SING,LOC,PR,GEN «Ê”«ﬂ«
W * N N,SING,LOC,PR é«Å‰
W * N N,SING,COM «‰Ã«„
W * V V,PA,SIM,POS,3 ‘œ
W * DELM DELM °
