Sub * SUBJ SUBJ !«Ã „«⁄Ì!
W * PRO PRO,personal,SING,1 „‰
W * P P œ—
W * N N,SING,NUM,INDF ÌﬂÌ
W * P P «“
W * N N,PL,LOC,GEN ﬂ‘Ê—Â«Ì
W * ADJ ADJ,SIM «—ÊÅ«ÌÌ
W * P P œ—
W * N N,SING,TIME,GEN ”«·
W * ADJ ADJ,ORD,GEN ¬Œ—
W * N N,SING,LOC œ»Ì—” «‰
W * ADJ ADJ,SIM „‘€Ê·
W * P P »Â
W * N N,SING,COM  Õ’Ì·
W * V V,PRS,POS,1 Â” „
W * DELM DELM .
W * N N,SING,NUM œÊ
W * N N,SING,TIME,GEN ”«·
W * ADJ ADJ,SIM ÅÌ‘
W * P P,GEN »—«Ì
W * N N,SING,NFL,GEN œÌœ‰
W * N N,PL,GR «ﬁÊ«„
W * DELM DELM °
W * N N,PL,COM,AFF,1  ⁄ÿÌ·« „
W * RA RA —«
W * P P »Â
W * N N,SING,LOC,PR «Ì—«‰
W * V V,PA,SIM,POS,1 ¬„œ„
W * DELM DELM .
W * P P œ—
W * DET DET ¬‰
W * N N,SING,COM “„«‰
W * CON CON çÊ‰
W * ADJ ADJ,CMPR ﬂ„ —
W * P P «“
W * N N,SING,NUM 18
W * N N,SING,TIME ”«·
W * V V,PA,SIM,POS,1 œ«‘ „
W * CON CON ·–«
W * N N,SING,COM,GEN „‘ﬂ·
W * N N,SING,COM,GEN Œœ„ 
W * N N,SING,COM ”—»«“Ì
W * V V,PA,SIM,NEG,1 ‰œ«‘ „
W * DELM DELM .
W * P P »«
W * N N,SING,COM  ÊÃÂ
W * P P »Â
W * PRO PRO,DEMO,SING «Ì‰
W * CON CON ﬂÂ
W * ADV ADV,GENR,TIME «ﬂ‰Ê‰
W * N N,SING,NUM 18
W * N N,SING,TIME,AFF,1 ”«·„
W * ADJ ADJ,SIM  „«„
W * MORP MORP,MADJ ‘œÂ
W * DELM DELM °
W * ADV ADV,I ¬Ì«
W * V V,PRS,POS,1 „Ì  Ê«‰„
W * P P,GEN »—«Ì
W * N N,SING,NFL,GEN œÌœ‰
W * N N,PL,COM «ﬁÊ«„
W * P P »Â
W * N N,SING,LOC,PR «Ì—«‰
W * V V,SUB,POS,1 »Ì«»„
W * DELM DELM ø
W * N N,SING,SURN,GEN ¬ﬁ«Ì
W * N N,SING,PR ›·ﬂÌ
W * DELM DELM °
W * CON CON œ—’Ê— Ì ﬂÂ
W * PRO PRO,personal,PL,2 ‘„«
W * ADJ ADJ,SIM „‘€Ê·
W * P P »Â
W * N N,SING,COM  Õ’Ì·
W * V V,SUB,POS,5 »«‘Ìœ
W * P P  «
W * N N,SING,COM,GEN „ﬁÿ⁄
W * N N,SING,COM œÌÅ·„
W * P P »«
W * N N,SING,COM,GEN  «ÌÌœ
W * N N,SING,COM,GEN Ê“«— 
W * N N,SING,COM ¬„Ê“‘
W * CON CON Ê
W * N N,SING,COM Å—Ê—‘
W * N N,SING,COM,GEN „⁄«›Ì 
W * ADJ ADJ,SIM  Õ’Ì·Ì
W * V V,PRS,POS,5 œ«—Ìœ
W * CON CON Ê
W * N N,SING,COM,GEN —›  Ê¬„œ
W * PRO PRO,personal,PL,2 ‘„«
W * P P »Â
W * N N,SING,LOC,PR «Ì—«‰
W * ADJ ADJ,SIM »·«„«‰⁄
W * V V,PRE,SIM «” 
W * DELM DELM .
W * N N,SING,TIME Å”
W * P P «“
W * N N,SING,COM œÌÅ·„
W * IF IF «ê—
W * P P œ—
W * N N,SING,LOC œ«‰‘ê«Â
W * N N,SING,COM «œ«„Â
W * N N,SING,COM  Õ’Ì·
W * V V,SUB,POS,5 »œÂÌœ
W * V V,AUX,NIN,POS »«Ìœ
W * DET DET «Ì‰
W * N N,SING,COM  «ÌÌœÌÂ
W * CON CON Ê
W * N N,SING,COM êÊ«ÂÌ
W * RA RA —«
W * P P «“
W * N N,SING,COM,GEN Ê“«— 
W * N N,SING,COM,GEN ¬„Ê“‘
W * ADJ ADJ,SIM ⁄«·Ì
W * V V,SUB,POS,5 »êÌ—Ìœ
W * DELM DELM °
W * CON CON ﬂÂ
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,COM ’Ê— 
W * CON CON Â„
W * N N,SING,COM,INDF „‘ﬂ·Ì
W * V V,AUX,FEA,NEG,5 ‰ŒÊ«ÂÌœ
W * V V,PA,SIM,POS,3 œ«‘ 
W * DELM DELM .
W * CON CON Ê
W * IF IF «ê—
W * P P,GEN Ê«—œ
W * N N,SING,LOC œ«‰‘ê«Â
W * V V,SUB,NEG,5 ‰‘ÊÌœ
W * V V,PRS,POS,5 „Ì  Ê«‰Ìœ
W * P P »Â
W * N N,SING,LOC,PR «Ì—«‰
W * N N,SING,COM ”›—
W * V V,SUB,POS,5 ﬂ‰Ìœ
W * P P »Â
W * N N,SING,COM,GEN ‘—ÿ
W * PRO PRO,DEMO,SING «Ì‰
W * CON CON ﬂÂ
W * N N,SING,COM,GEN „œ 
W * N N,SING,COM,GEN «ﬁ«„ 
W * PRO PRO,personal,PL,2 ‘„«
W * ADJ ADJ,SIM »Ì‘
W * P P «“
W * N N,SING,NUM ”Â
W * N N,SING,TIME „«Â
W * V V,SUB,NEG,3 ‰»«‘œ
W * N N,SING,COM,INDF „‘ﬂ·Ì
W * P P «“
W * N N,SING,COM,GEN ·Õ«Ÿ
W * N N,SING,COM ”—»«“Ì
W * P P,GEN »—«Ì
W * PRO PRO,personal,PL,2 ‘„«
W * P P »Â
W * N N,SING,COM ÊÃÊœ
W * V V,AUX,FEA,NEG,3 ‰ŒÊ«Âœ
W * V V,PA,SIM,POS,3 ¬„œ
W * DELM DELM .
W * P P œ—
W * QUA QUA Â—
W * N N,SING,COM Õ«·
W * V V,AUX,NIN,POS »«Ì” Ì
W * N N,SING,TIME ﬁ»·
W * P P «“
W * N N,SING,COM ”›—
W * DELM DELM °
W * N N,SING,COM,GEN ›—„
W * ADJ ADJ,SIM „—»ÊÿÂ
W * RA RA —«
W * N N,SING,COM  ﬂ„Ì·
W * CON CON Ê
W * N N,SING,TIME Å”
W * P P «“
W * N N,SING,COM,GEN ﬂ”»
W * N N,SING,COM,GEN „Ê«›ﬁ 
W * N N,SING,COM „—ﬂ“
W * DELM DELM °
W * N N,SING,COM ”›—
W * V V,SUB,POS,5 ‰„«∆Ìœ
W * DELM DELM .
Sub * SUBJ SUBJ !”Ì«”Ì!
W * P P œ—
W * QUA QUA Â—
W * N N,SING,COM Õ«·
W * N N,SING,LOC,PR ·‰œ‰
W * DELM DELM -
W * N N,SING,PR «Ì—‰«
W * N N,SING,PR —«‰Ì
W * N N,SING,PR ›·«‰«ê«‰
W * N N,SING,COM,GEN —∆Ì”
W * N N,PL,COM,GEN ‰Ì—ÊÂ«Ì
W * N N,SING,GR,GEN «— ‘
W * N N,SING,LOC,PR «‰ê·Ì”
W * P P œ—
W * N N,SING,LOC,PR,GEN «Ì—·‰œ
W * ADJ ADJ,SIM ‘„«·Ì
W * DELM DELM °
W * N N,SING,TIME,GEN —Ê“
W * N N,SING,DAY ‘‰»Â
W * N N,SING,COM «⁄·«„
W * V V,PA,SIM,POS,3 ﬂ—œ
W * P P »«
W * N N,SING,ORD,GEN ¬€«“
W * ADJ ADJ,SIM,GEN „Ãœœ
W * N N,SING,COM,GEN ﬂ«—
W * N N,SING,COM,GEN „Ã·”
W * ADJ ADJ,SIM,GEN ‰ÊÅ«Ì
W * N N,SING,LOC,PR,GEN «Ì—·‰œ
W * ADJ ADJ,SIM ‘„«·Ì
W * DELM DELM °
W * N N,SING,TIME Å”
W * P P «“
W * N N,SING,COM,GEN „Ê«›ﬁ 
W * N N,PL,COM « Õ«œê—«Ì«‰
W * P P »«
W * N N,SING,COM,GEN ÿ—Õ
W * N N,SING,COM,GEN Œ·⁄
W * N N,SING,COM,GEN ”·«Õ
W * ADJ ADJ,SIM,GEN  œ—ÌÃÌ
W * N N,SING,GR,GEN «— ‘
W * ADJ ADJ,SIM,GEN Ã„ÂÊ—Ì ŒÊ«Â
W * N N,SING,LOC,PR,GEN «Ì—·‰œ
W * ADJ ADJ,SIM ‘„«·Ì
W * DELM DELM °
W * N N,SING,LOC,PR «‰ê·Ì”
W * P P  «
W * N N,SING,NUM ”Â
W * N N,SING,TIME,GEN Â› Â
W * ADJ ADJ,SIM œÌê—
W * DELM DELM °
W * N N,SING,NUM 500
W * N N,SING,COM ‰›—
W * P P «“
W * N N,PL,COM,GEN ‰Ì—ÊÂ«Ì
W * N N,SING,GR,GEN «— ‘
W * PRO PRO,R,XOD ŒÊœ
W * RA RA —«
W * P P œ—
W * N N,SING,LOC „‰ÿﬁÂ
W * N N,SING,COM ﬂ«Â‘
W * V V,AUX,FEA,POS,3 ŒÊ«Âœ
W * V V,PA,SIM,POS,3 œ«œ
W * DELM DELM .
W * P P,DET »œÌ‰
W * N N,SING,COM  — Ì»
W * N N,SING,GR,GEN  ⁄œ«œ
W * N N,PL,COM,GEN ‰Ì—ÊÂ«Ì
W * N N,SING,GR,GEN «— ‘
W * N N,SING,LOC,PR «‰ê·Ì”
W * P P œ—
W * N N,SING,LOC,PR,GEN «Ì—·‰œ
W * ADJ ADJ,SIM ‘„«·Ì
W * P P  «
W * N N,SING,COM,GEN ”ÿÕ
W * N N,SING,NUM 31
W * N N,SING,NUM Â“«—
W * CON CON Ê
W * N N,SING,NUM 500
W * N N,SING,COM ‰›—
W * N N,SING,COM ﬂ«Â‘
W * V V,AUX,FEA,POS,3 ŒÊ«Âœ
W * V V,PA,SIM,POS,3 Ì«› 
W * CON CON ﬂÂ
W * P P «“
W * N N,SING,TIME,GEN ”«·
W * N N,SING,NUM 1970
W * ADJ ADJ,SIM „Ì·«œÌ
W * ADV ADV,GENR,TIME  «ﬂ‰Ê‰
W * N N,SING,COM ”«»ﬁÂ
W * ADJ ADJ,INO,NEG ‰œ«‘ Â
W * V V,PRE,SIM «” 
W * DELM DELM .
W * P P »Â
W * N N,SING,COM,GEN ê“«—‘
W * N N,SING,PR »Ì »Ì ”Ì
W * DELM DELM °
W * N N,SING,PR ›·«‰«ê«‰
W * P P »«
W * N N,SING,COM,GEN «⁄·«„
W * DET DET «Ì‰
W * N N,SING,COM „ÿ·»
W * DELM DELM °
W * P P »Â
W * N N,SING,COM,GEN »„» ê–«—Ì
W * N N,SING,TIME,GEN —Ê“
W * N N,SING,DAY,GEN Å‰Ã‘‰»Â
W * ADJ ADJ,SIM ê–‘ Â
W * P P œ—
W * N N,SING,LOC,PR ·‰œ‰
W * N N,SING,COM «‘«—Â
W * V V,PA,SIM,POS,3 ﬂ—œ
W * CON CON Ê
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * DET DET «Ì‰
W * N N,SING,COM ﬂ«Â‘
W * P P œ—
W * N N,PL,COM,GEN ‰Ì—ÊÂ«Ì
W * N N,SING,GR,GEN «— ‘
W * N N,SING,LOC,PR «‰ê·Ì”
W * P P »Â
W * N N,SING,COM,GEN —€„
W * N N,SING,COM,GEN «œ«„Â
W * N N,SING,COM  ÂœÌœ
W * P P «“
W * N N,SING,COM,GEN ”ÊÌ
W * N N,PL,GR,GEN ê—ÊÂÂ«Ì
W * ADJ ADJ,SIM «›—«ÿÌ
W * P P œ—
W * QUA QUA »—ŒÌ
W * P P «“
W * N N,PL,COM,GEN ‰ﬁ«ÿ
W * N N,SING,LOC ﬂ‘Ê—
W * N N,SING,COM «‰Ã«„
W * V V,PRS,POS,3 „Ì ‘Êœ
W * CON CON Ê
W * DET DET «Ì‰
W * N N,SING,COM «„—
W * N N,SING,COM,GEN ‰‘«‰Â
W * N N,SING,COM,GEN  ⁄Âœ
W * N N,SING,COM,GEN œÊ· 
W * N N,SING,LOC,PR «‰ê·Ì”
W * P P »Â
W * N N,SING,COM,GEN «Ã—«Ì
W * N N,SING,COM ’·Õ
W * P P œ—
W * N N,SING,LOC,GEN „‰ÿﬁÂ
W * N N,SING,LOC,PR,GEN «Ì—·‰œ
W * ADJ ADJ,SIM ‘„«·Ì
W * V V,PRE,SIM «” 
W * DELM DELM .
W * N N,SING,COM ÅÌ‘
W * P P «“
W * N N,SING,COM,GEN «⁄·«„
W * DET DET «Ì‰
W * N N,SING,COM ﬂ«Â‘
W * DELM DELM °
W * N N,SING,PR „«— Ì‰
W * N N,SING,PR „ﬂ
W * N N,SING,PR êÌ‰”
W * N N,SING,COM,GEN ‰„«Ì‰œÂ
W * N N,SING,COM,GEN ‘«ŒÂ
W * ADJ ADJ,SIM,GEN ‰Ÿ«„Ì
W * N N,SING,GR,GEN «— ‘
W * ADJ ADJ,SIM,GEN Ã„ÂÊ—Ì ŒÊ«Â
W * N N,SING,LOC,PR «Ì—·‰œ
W * P P œ—
W * N N,PL,COM,GEN „–«ﬂ—« 
W * N N,SING,COM ’·Õ
W * DELM DELM °
W * N N,SING,TIME,GEN —Ê“
W * N N,SING,DAY ‘‰»Â
W * P P œ—
W * N N,SING,COM „’«Õ»Â
W * P P »«
W * N N,SING,COM,GEN ‘»ﬂÂ
W * N N,SING,NUM,GEN çÂ«—
W * N N,SING,COM —«œÌÊ
W * N N,SING,PR »Ì »Ì ”Ì
W * N N,SING,COM,GEN «‰›Ã«—
W * N N,SING,COM »„»
W * P P œ—
W * N N,SING,LOC,PR ·‰œ‰
