Sub * SUBJ SUBJ !”Ì«”Ì!
W * N N,SING,SURN,GEN Ã‰«»
W * N N,SING,SURN,GEN ¬ﬁ«Ì
W * N N,SING,PR „Â«Ã—«‰Ì
W * DELM DELM !
W * V V,PRE,ADJC,1 «„ÌœÊ«—„
W * P P »Â
W * N N,SING,COM,GEN ¬—“ÊÌ
W * PRO PRO,R,XOD ŒÊœ
W * V V,SUB,POS,5 »—”Ìœ
W * CON CON Ê
W * N N,PL,COM ⁄Ê«„
W * P P œ—
W * N N,PL,LOC,GEN ‘Â—Â«Ì
W * ADJ ADJ,SIM ﬁÕÿÌ “œÂ
W * P P,GEN »—«Ì
W * N N,SING,NFL,GEN œÌœ‰
W * PRO PRO,personal,PL,2 ‘„«
W * N N,SING,COM «“œÕ«„
W * V V,SUB,POS,6 ﬂ‰‰œ
W * CON CON Ê
W * N N,PL,COM,INDF ‘⁄«—Â«ÌÌ
W * P P «“
W * DET DET «Ì‰
W * N N,SING,COM œ” 
W * V V,SUB,POS,6 »œÂ‰œ
W * DELM DELM .
W * AR AR ’· ⁄·Ì „Õ„œ
W * DELM DELM !
W * N N,SING,PR „Â«Ã—«‰Ì
W * V V,PA,SIM,POS,3 ¬„œ
W * DELM DELM °
W * PRO PRO,personal,SING,2  Ê
W * N N,SING,COM,GEN ‰Ê—
W * N N,SING,COM,GEN ﬁ·»
W * V V,PRE,PROC,2 „«ÌÌ
W * DELM DELM °
W * N N,SING,COM,INDF ⁄ÿ«ÌÌ
W * P P «“
W * V V,PRE,NC,2 Œœ«ÌÌ
W * DELM DELM !
W * N N,SING,COM ê“«›Â
W * N N,SING,COM,GEN œ·
W * N N,SING,COM,GEN «Â·
W * N N,SING,COM Ã«Â
W * RA RA —«
W * N N,SING,COM Ã·«
W * V V,PRS,POS,3 „Ì œÂœ
W * DELM DELM .
W * CON CON «„«
W * PRO PRO,personal,SING,1 „‰
W * CON CON Ê
W * PRO PRO,personal,PL,2 ‘„«
W * ADJ ADJ,SIM Ã«ÊÌœ
W * N N,SING,PR ‘«Â
W * CON CON Ê
W * N N,SING,PR,GEN ‘«Â‰‘Â
W * PRO PRO,personal,PL,1 „«
W * ADJ ADJ,SIM “‰œÂ
W * V V,SUB,POS,3 »«œ«
W * RA RA —«
W * V V,PA,NAR,POS,4 ‘‰ÌœÂ «Ì„
W * CON CON Ê
W * DET DET ¬‰
W * N N,PL,GR,GEN «Ã „«⁄« 
W * ADJ ADJ,SIM ⁄ŸÌ„
W * RA RA —«
W * V V,PA,NAR,POS,4 œÌœÂ «Ì„
W * DELM DELM .
W * N N,SING,COM,GEN “Ê«·
W * PRO PRO,DEMO,PL ¬‰Â«
W * RA RA —«
W * CON CON Â„
W * N N,SING,COM ‘«Âœ
W * V V,PA,NAR,POS,4 »ÊœÂ «Ì„
W * DELM DELM .
W * N N,PL,COM,GEN ‘⁄«—Â«Ì
W * N N,SING,COM,GEN ⁄’—
W * N N,SING,COM,GEN ”—œ«—
W * N N,SING,COM ”«“‰œêÌ
W * RA RA —«
W * CON CON,DCOR Â„
W * QUA QUA Â—
W * N N,SING,NUM œÊ
W * P P »Â
W * N N,SING,COM Ì«œ
W * V V,PRS,POS,4 œ«—Ì„
W * CON CON Ê
W * N N,PL,COM,GEN «‰ Œ«»« 
W * N N,SING,NUM,GEN 29
W * N N,SING,MON »Â„‰
W * RA RA —«
W * CON CON,DCOR Â„
W * DELM DELM .
W * N N,SING,COM,GEN ⁄’—
W * ADV ADV,GENR,ORD œÊ„
W * N N,SING,MON Œ—œ«œ
W * RA RA —«
W * CON CON Â„
W * CON CON ﬂÂ
W * PRO PRO,personal,PL,2 ‘„«
W * P P œ—
W * N N,SING,COM,GEN «ÊÃ
W * N N,SING,COM ﬂ»—Ì«
W * CON CON Ê
W * N N,SING,COM »‰œÂ
W * P P œ—
W * N N,SING,COM,GEN €«Ì 
W * N N,SING,COM ⁄”— 
W * DELM DELM °
W * P P œ—
W * N N,SING,COM Õ«·
W * N N,SING,COM,GEN Å‘ 
W * N N,SING,COM ”—
W * V V,PRE,NC,4 ê–«‘ ‰Ì„
W * DELM DELM .
W * N N,SING,COM,GEN ⁄’—
W * PRO PRO,personal,PL,2 ‘„«
W * CON CON Â„
W * V V,AUX,FEA,POS,3 ›—«ŒÊ«Âœ
W * V V,PA,SIM,POS,3 —”Ìœ
W * CON CON Ê
W * IF IF «ê—
W * P P  «
W * DET DET ¬‰
W * N N,SING,TIME —Ê“
W * ADV ADV,GENR,SIM Â„ç‰«‰
W * N N,PL,COM,GEN œ—Â«Ì
W * N N,SING,COM ê—Ì“
W * P P »—
W * N N,SING,COM,GEN —ÊÌ
W * PRO PRO,personal,SING,1 „‰
W * CON CON Ê
W * N N,PL,COM,GEN «„À«·
W * PRO PRO,personal,SING,1 „‰
W * ADJ ADJ,INO »” Â
W * V V,SUB,POS,3 »«‘œ
W * DELM DELM °
W * CON CON Ì«
W * P P »Â
W * N N,SING,LOC “‰œ«‰
W * V V,AUX,FEA,POS,4 ŒÊ«ÂÌ„
W * V V,PA,SIM,POS,3 —› 
W * CON CON Ì«
W * N N,SING,COM «⁄œ«„
W * V V,AUX,FEA,POS,4 ŒÊ«ÂÌ„
W * V V,PA,SIM,POS,3 ‘œ
W * CON CON Ì«
W * QUA QUA Â—
W * N N,SING,COM ﬂœ«„
W * DELM DELM °
W * ADJ ADJ,SIM „·ﬂ «·‘⁄—«Ê«—
W * P P œ—
W * N N,SING,LOC,GEN “‰œ«‰
W * N N,SING,COM ‘Â—»«‰Ì
W * N N,SING,COM,INDF ﬁ’ÌœÂ «Ì
W * V V,AUX,FEA,POS,4 ŒÊ«ÂÌ„
W * V V,PA,SIM,POS,3 ”«Œ 
W * CON CON Ê
W * P P,GEN  Ê”ÿ
W * N N,PL,COM,GEN «„À«·
W * N N,SING,SURN œﬂ —
W * N N,SING,PR,GEN »«” «‰Ì
W * N N,SING,PR Å«—Ì“Ì
W * P P »Â
W * N N,SING,COM,GEN ‘—›
W * N N,SING,COM ⁄—÷
W * V V,AUX,FEA,POS,4 ŒÊ«ÂÌ„
W * V V,PA,SIM,POS,3 —”«‰œ
W * DELM DELM .
W * N N,SING,COM ‘ÊŒÌ
W * V V,PRS,NEG,1 ‰„Ì ﬂ‰„
W * DELM DELM !
W * QUA QUA,GEN Â„Â
W * PRO PRO,personal,PL,2 ‘„«
W * N N,SING,COM,GEN ⁄ﬁœÂ
W * N N,SING,COM ”·ÿ‰ 
W * V V,PRS,POS,5 œ«—Ìœ
W * DELM DELM .
W * QUA QUA,GEN Â„Â
W * PRO PRO,personal,PL,2 ‘„«
W * N N,PL,COM,GEN —Ã«·
W * N N,SING,NUM œÊ
W * N N,SING,NUM,GEN œÂÂÒ
W * ADJ ADJ,SIM «ŒÌ—
W * ADJ ADJ,SUP »«·« —Ì‰
W * N N,SING,COM „— » 
W * CON CON Ê
W * N N,SING,COM,INDF „‰“· Ì
W * CON CON ﬂÂ
W * V V,PA,NAR,POS,5 ‘‰«Œ Â «Ìœ
W * N N,SING,COM Å«œ‘«ÂÌ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * N N,SING,PR ‰ÌçÂ
W * ADJ ADJ,SIM »“—ê
W * V V,PRS,POS,3 „Ì ›—„«Ìœ
W * DELM DELM :
W * IF IF «ê—
W * N N,SING,COM,INDF œÌ—Ì
W * P P œ—
W * N N,SING,COM,INDF „€«ﬂÌ
W * N N,SING,COM ç‘„
W * V V,SUB,POS,2 »œÊ“Ì
W * DELM DELM °
W * DET DET ¬‰
W * N N,SING,COM „€«ﬂ
W * CON CON ‰Ì“
W * P P œ—
W * PRO PRO,personal,SING,2  Ê
W * N N,SING,COM ç‘„
W * V V,AUX,FEA,POS,3 ŒÊ«Âœ
W * V V,PA,SIM,POS,3 œÊŒ 
W * CON CON Ê
W * PRO PRO,personal,SING,1 „‰
W * P P «“
W * N N,SING,COM œÊ—
W * CON CON Ê
W * N N,SING,COM ‰“œÌﬂ
W * P P œ—
W * N N,PL,COM,GEN «ÕÊ«·
W * QUA QUA,GEN Ìﬂ«Ìﬂ
W * PRO PRO,personal,PL,2 ‘„«
W * N N,SING,COM  «„·
W * V V,PA,NAR,POS,1 ﬂ—œÂ «„
W * DELM DELM °
W * P P œ—
W * QUA QUA Â—
W * N N,SING,NUM ”Â
W * N N,SING,COM,GEN ”«Õ 
W * N N,SING,COM ÊÃÊœ
W * P P »Â
W * N N,SING,COM,GEN  ’—›
W * N N,SING,COM,GEN „€«ﬂ
W * N N,SING,COM «⁄·ÌÕ÷— 
W * V V,PA,NAR,POS,5 œ—¬„œÂ «Ìœ
W * CON CON Ê
W * P P,GEN »œÊ‰
W * CON CON ¬‰ﬂÂ
W * PRO PRO,R,XOD ŒÊœ
W * N N,SING,COM ¬ê«ÂÌ
W * ADJ ADJ,INO œ«‘ Â
W * V V,SUB,POS,5 »«‘Ìœ
W * DELM DELM °
W * N N,SING,COM Å«
W * N N,SING,COM,GEN Ã«Ì
W * N N,SING,COM,GEN Å«Ì
W * DET DET ¬‰
W * N N,SING,COM »Ìç«—Â
W * V V,PRS,POS,5 „Ì ê–«—Ìœ
W * DELM DELM .
W * N N,SING,COM —Õ„ 
W * CON CON Ê
W * N N,SING,COM,GEN —÷Ê«‰
W * N N,SING,COM Œœ«Ê‰œ
W * P P »—
W * N N,SING,PR «„«„
W * V V,SUB,POS,3 »«œ
W * CON CON ﬂÂ
W * N N,SING,COM,GEN Ÿ«Â—
W * N N,SING,COM ÿ«€Ê 
W * RA RA —«
W * ADJ ADJ,SIM ”—‰êÊ‰
W * V V,PA,SIM,POS,3 ﬂ—œ
W * CON CON  «
W * N N,PL,COM,GEN „Ÿ«Â—
W * PRO PRO,DEMO,SING ¬‰
W * ADJ ADJ,SIM ¬‘ﬂ«—
W * V V,SUB,POS,6 ‘Ê‰œ
W * DELM DELM .
W * P P »«
W * PRO PRO,INDF,PL œÌê—«‰
W * N N,SING,COM,INDF ﬂ«—Ì
W * V V,PRS,NEG,1 ‰œ«—„
W * DELM DELM !
W * ADV ADV,GENR,SIM €«·»«
W * CON CON,COMP Ã“
W * PRO PRO,INDF,SING ¬‰çÂ
W * P P œ—
W * N N,SING,LOC œ«‰‘ê«Â
W * V V,PA,NAR,POS,6 ŒÊ«‰œÂ «‰œ
W * CON CON Ê
W * DET DET ¬‰
W * ADJ ADJ,SIM „Œ ’—
W * N N,SING,COM,GEN  Œ’’
W * ADJ ADJ,SIM ‰Ÿ—Ì
W * CON CON Ê
W * ADV ADV,GENR,SIM €«·»«
W * ADJ ADJ,SIM „Â‰œ”Ì
W * DELM DELM -
W * QUA QUA ÂÌç
W * N N,SING,COM,INDF ›÷Ì· Ì
W * V V,PRS,NEG,6 ‰œ«—‰œ
W * DELM DELM .
W * CON CON «„«
W * PRO PRO,personal,PL,2 ‘„«
W * N N,SING,COM ›—ﬁ
W * V V,PRS,POS,5 „Ì ﬂ‰Ìœ
W * DELM DELM .
W * PRO PRO,INDF,PL œÌê—«‰
W * P P,GEN ·«Ì
W * N N,SING,PR ‘«Â‰«„Â
W * RA RA —«
W * ADV ADV,GENR,REPT »«“
W * V V,PA,NAR,NEG,6 ‰ﬂ—œÂ «‰œ
W * CON CON Ê
W * N N,SING,PR „À‰ÊÌ
W * RA RA —«
W * P P «“
W * N N,SING,COM,GEN œÌÊ«‰
W * N N,SING,SURN ‘«ÿ—
W * N N,SING,PR,GEN ⁄»«”
W * N N,SING,PR ’»ÊÕÌ
W * ADV ADV,GENR,REPT »«“
W * V V,PA,PRG,NEG,6 ‰„Ì ‘‰«”‰œ
W * CON CON Ê
W * AR AR Â·„
W * AR AR Ã—«
W * DELM DELM .
W * CON CON Ê·Ì
W * N N,SING,COM,INDF ﬂ”Ì
W * ADV ADV,GENR,EXM Â„çÊ‰
W * PRO PRO,personal,PL,2 ‘„«
W * CON CON ﬂÂ
W * N N,SING,COM ÌﬁÌ‰
W * V V,PRS,POS,1 œ«—„
W * ADV ADV,GENR,SIM Â‰Ê“
W * CON CON Â„
W * P P »«
W * N N,SING,COM Õ—’
W * CON CON Ê
W * N N,SING,COM Ê·⁄
W * N N,SING,COM „ÿ«·⁄Â
W * V V,PRS,POS,3 „Ì ﬂ‰œ
W * DELM DELM °
W * V V,AUX,NIN,POS »«Ìœ
W * N N,SING,COM,GEN „ ÊÃÂ
W * N N,SING,COM,GEN  ’—›
W * N N,SING,COM „€«ﬂ
W * P P œ—
W * N N,SING,COM ‰›”
W * CON CON Ê
W * N N,SING,COM,GEN ⁄ﬁ·
W * PRO PRO,R,XOD ŒÊœ
W * V V,SUB,POS,3 »«‘œ
W * CON CON Ê
W * P P »Â
W * PRO PRO,R,XOD ŒÊœ
W * N N,SING,COM ‰ÂÌ»
W * V V,SUB,POS,3 »“‰œ
W * CON CON ﬂÂ
W * DELM DELM :
W * PRO PRO,INDF,SING ›·«‰Ì
W * DELM DELM !
W * PRO PRO,DEMO,SING «Ì‰
W * DET DET,I çÂ
W * N N,SING,COM,INDF »”«ÿÌ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * IF IF «ê—
W * P P «“
W * PRO PRO,personal,SING,2  Ê
W * N N,SING,COM,INDF çÌ“Ì
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,COM ÃÂ«‰
W * ADJ ADJ,SIM Œ—«»
W * N N,SING,COM »«ﬁÌ
W * V V,SUB,POS,3 »„«‰œ
W * DET DET Â„«‰
W * N N,SING,NUM çÂ«—
W * N N,SING,CONT Ã·œ
W * N N,SING,COM,GEN ﬂ «»
W * ADJ ADJ,SIM €Ì—”Ì«”Ì
W * V V,PRE,SIM «” 
W * DELM DELM .
W * IF IF «ê—
W * P P »Â
W * N N,SING,COM ”·ÿ‰ 
W * CON CON Â„
W * V V,SUB,POS,2 »—”Ì
W * DELM DELM °
W * N N,SING,ORD,GEN Å«Ì«‰
W * N N,SING,COM,GEN ﬂ«—
W * PRO PRO,personal,SING,2  Ê
W * N N,SING,COM „—ê
W * V V,PRE,SIM «” 
W * CON CON Ê
W * AR AR ”·„‰«
W * CON CON ﬂÂ
W * N N,SING,TIME Å”
W * P P «“
W * N N,SING,COM „—ê
W * QUA QUA ÂÌç
W * N N,SING,COM,INDF Œ»—Ì
W * V V,SUB,NEG,3 ‰»«‘œ
W * DELM DELM °
W * N N,SING,COM,GEN ‘«‰
W * N N,SING,COM ›÷Ì· 
W * N N,SING,COM «ﬁ ÷«
W * V V,PRS,POS,3 „Ì ﬂ‰œ
W * CON CON ﬂÂ
W * DET DET «Ì‰
W * N N,SING,COM «⁄·ÌÕ÷— 
W * N N,SING,COM »«“Ì
W * RA RA —«
W * ADJ ADJ,SIM —Â«
W * V V,SUB,POS,2 ﬂ‰Ì
W * DELM DELM .
W * V V,PRS,POS,5 „Ì œ«‰Ìœ
W * N N,SING,SURN Ã‰«»
W * N N,SING,SURN,GEN ¬ﬁ«Ì
W * N N,SING,PR „Â«Ã—«‰Ì
W * DELM DELM !
W * DET DET «Ì‰
W * N N,PL,COM Ì«ÊÂ Â«
W * RA RA —«
W * N N,SING,COM ⁄—÷
W * V V,PRS,NEG,1 ‰„Ì ﬂ‰„
W * CON CON ﬂÂ
W * PRO PRO,personal,PL,2 ‘„«
W * V V,SUB,POS,5 »‘‰ÊÌœ
W * DELM DELM !
W * N N,SING,COM,GEN êÊ‘
W * N N,SING,COM,GEN «Â·
W * N N,SING,COM Ã«Â
W * P P »Â
W * N N,SING,COM,GEN ﬁÊ·
W * N N,SING,PR Œ«ﬁ«‰Ì
W * P P «“
W * N N,SING,COM ⁄”·
W * ADJ ADJ,SIM ¬ﬂ‰œÂ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * V V,PRS,POS,1 „Ì êÊÌ„
W * CON CON ﬂÂ
W * N N,PL,COM,GEN êÊ‘Â«Ì
W * N N,PL,COM ›—œ«∆Ì«‰
W * V V,SUB,POS,3 »‘‰Êœ
W * DELM DELM .
W * V V,PRS,NEG,1 ‰„Ì ŒÊ«Â„
W * N N,SING,COM,GEN „Ã«·
W * N N,SING,COM ›—«Â„
W * MORP MORP,MADJ ‘œÂ
W * RA RA —«
W * ADV ADV,GENR,SIM „› 
W * CON CON Ê
W * ADV ADV,GENR,SIM „”·„
W * P P «“
W * N N,SING,COM œ” 
W * V V,SUB,POS,1 »œÂ„
W * DELM DELM .
W * V V,PRS,POS,1 „Ì ŒÊ«Â„
W * N N,PL,COM ›—œ«∆Ì«‰
W * V V,SUB,POS,6 »œ«‰‰œ
W * CON CON ﬂÂ
W * N N,SING,COM Å«œ‘«ÂÌ
W * CON CON Ê
W * N N,SING,COM ”·ÿ‰ 
W * DELM DELM °
W * N N,SING,COM,INDF ’Ê— Ì
W * V V,PRS,NEG,3 ‰Ì” 
W * CON CON ﬂÂ
W * P P «“
W * N N,SING,COM „Ì«‰
W * V V,SUB,POS,3 »—Êœ
W * DELM DELM °
W * N N,SING,COM,INDF ¬œ„Ì
W * V V,PRS,NEG,3 ‰Ì” 
W * CON CON ﬂÂ
W * P P »Â
W * N N,SING,LOC ›—Êœê«Â
W * V V,PA,NAR,POS,3 —› Â
W * CON CON Ê
W * ADV ADV,GENR,SIM ê—Ì«‰
W * N N,SING,COM,GEN ”—“„Ì‰
W * PRO PRO,R,XOD ŒÊœ
W * RA RA —«
W * P P,GEN »—«Ì
W * N N,SING,COM «»œ
W * P P,GEN Å‘ 
W * N N,SING,COM ”—
W * V V,SUB,POS,3 »ê–«—œ
W * DELM DELM .
W * N N,SING,COM,INDF ÕﬁÌﬁ Ì
