Sub * SUBJ SUBJ !«ﬁ ’«œÌ!
W * P P »«
W * N N,SING,COM ”·«„
W * N N,SING,COM,GEN Œœ„ 
W * PRO PRO,personal,PL,2 ‘„«
W * N N,PL,COM,GEN œ”  «‰œ—ﬂ«—«‰
W * ADJ ADJ,SIM,GEN „Õ —„
W * N N,SING,COM ” Ê‰
W * P P »«
W * N N,PL,COM ‘Â—Ê‰œ«‰
W * DELM DELM .
W * N N,SING,COM «Ì‰Ã«‰»
W * N N,SING,PR,GEN „Õ„œ
W * N N,SING,PR «„Ì‰
W * DELM DELM °
W * N N,SING,NUM 76
W * MORP MORP,MADJ ”«·Â
W * DELM DELM °
W * ADJ ADJ,SIM,GEN œ«—«Ì
W * N N,SING,NUM 52
W * N N,SING,TIME ”«·
W * N N,SING,COM Œœ„ 
W * P P œ—
W * N N,SING,NUM,INDF ÌﬂÌ
W * P P «“
W * N N,PL,COM,GEN ”«“„«‰Â«Ì
W * ADJ ADJ,SIM,GEN œÊ· Ì
W * N N,SING,LOC,PR «Ì—«‰
W * V V,PRS,POS,1 „Ì »«‘„
W * CON CON ﬂÂ
W * QUA QUA,GEN ÕœÊœ
W * N N,SING,NUM 12
W * N N,SING,TIME,GEN ”«·
W * N N,SING,COM ÅÌ‘
W * P P »Â
W * N N,SING,COM,GEN Œ«ÿ—
W * N N,SING,COM,GEN  Õ’Ì·
W * N N,PL,COM,AFF,1 ›—“‰œ«‰„
W * ADJ ADJ,SIM ‰«ç«—
W * P P »Â
W * N N,SING,COM “‰œêÌ
W * P P œ—
W * N N,SING,COM Œ«—Ã
W * P P «“
W * N N,SING,LOC,PR «Ì—«‰
W * V V,PA,SIM,POS,1 ‘œ„
W * DELM DELM °
W * ADV ADV,GENR,TIME «ﬂ‰Ê‰
W * N N,SING,COM ﬁ’œ
W * V V,PRS,POS,1 œ«—„
W * P P »Â
W * N N,SING,LOC,PR «Ì—«‰
W * V V,SUB,POS,1 »—ê—œ„
W * DELM DELM .
W * ADV ADV,I ¬Ì«
W * V V,PRS,POS,1 „Ì  Ê«‰„
W * P P «“
W * N N,PL,COM ÕﬁÊﬁ
W * CON CON Ê
W * N N,PL,COM,GEN „“«Ì«Ì
W * N N,SING,COM »«“‰‘” êÌ
W * ADJ ADJ,SIM »—ŒÊ—œ«—
W * V V,SUB,POS,1 »«‘„
W * DELM DELM ø
W * N N,SING,COM,GEN Â„Êÿ‰
W * ADJ ADJ,SIM ⁄“Ì“
W * N N,SING,NPR Ã
W * DELM DELM .
W * N N,SING,PR,GEN „Õ„œ
W * N N,SING,PR «„Ì‰
W * P P,GEN ÷„‰
W * N N,SING,COM,GEN ⁄—÷
W * N N,SING,COM ”·«„
W * N N,SING,COM,GEN Œœ„ 
W * PRO PRO,personal,PL,2 ‘„«
W * DELM DELM °
W * P P »«
W * N N,SING,COM  ÊÃÂ
W * P P »Â
W * N N,SING,COM,GEN „Ì“«‰
W * N N,SING,COM Œœ„ 
W * CON CON Ê
W * N N,SING,COM,GEN ”‰
W * N N,SING,COM,GEN “„«‰
W * N N,SING,COM,GEN  —ﬂ
W * N N,SING,COM Œœ„ 
W * DELM DELM °
W * PRO PRO,personal,PL,2 ‘„«
W * P P œ—
W * DET DET Â„«‰
W * N N,SING,COM,GEN “„«‰
W * N N,SING,COM,GEN  —ﬂ
W * N N,SING,COM Œœ„ 
W * CON CON Â„
W * V V,PA,PRG,POS,5 „Ì  Ê«‰” Ìœ
W * N N,SING,COM,GEN  ﬁ«÷«Ì
W * N N,SING,COM »«“‰‘” êÌ
W * V V,SUB,POS,5 ‰„«ÌÌœ
W * DELM DELM .
W * P P »«
W * DET DET «Ì‰
W * N N,SING,COM Õ«·
W * ADV ADV,GENR,TIME «ﬂ‰Ê‰
W * CON CON ﬂÂ
W * N N,SING,COM,GEN ﬁ’œ
W * N N,SING,COM „—«Ã⁄ 
W * P P »Â
W * N N,SING,LOC,PR «Ì—«‰
W * RA RA —«
W * V V,PRS,POS,5 œ«—Ìœ
W * V V,PRS,POS,5 „Ì  Ê«‰Ìœ
W * N N,SING,COM,GEN  ﬁ«÷«Ì
W * PRO PRO,R,XOD ŒÊœ
W * RA RA —«
W * P P »Â
W * N N,SING,COM,GEN ’Ê— 
W * ADJ ADJ,SIM ﬂ »Ì
W * P P »Â
W * N N,SING,COM,GEN œÌÊ«‰
W * N N,SING,COM,GEN ⁄œ«· 
W * ADJ ADJ,SIM «œ«—Ì
W * N N,SING,COM  ”·Ì„
W * V V,SUB,POS,5 ‰„«ÌÌœ
W * DELM DELM .
W * N N,SING,COM,GEN œÌÊ«‰
W * N N,SING,COM ⁄œ«· 
W * CON CON Â„
W * PRO PRO,personal,PL,2 ‘„«
W * RA RA —«
W * P P »Â
W * N N,SING,COM,GEN ”«“„«‰
W * ADJ ADJ,SIM,GEN «” Œœ«„Ì
W * N N,SING,LOC ﬂ‘Ê—
W * N N,SING,COM „⁄—›Ì
W * V V,PRS,POS,3 „Ì ‰„«Ìœ
W * CON CON ﬂÂ
W * P P »«
W * N N,SING,COM  ÊÃÂ
W * P P »Â
W * N N,SING,COM,GEN ”«»ﬁÂ
W * N N,SING,COM Œœ„ 
W * CON CON Ê
W * N N,SING,COM,GEN ”‰
W * PRO PRO,personal,PL,2 ‘„«
W * N N,PL,COM,GEN „“«Ì«Ì
W * N N,SING,COM »«“‰‘” êÌ
W * P P,GEN »—«Ì
W * PRO PRO,personal,PL,2 ‘„«
W * ADJ ADJ,SIM „ﬁ——
W * V V,PRS,POS,3 „Ì ê—œœ
W * DELM DELM .
Sub * SUBJ SUBJ !«Ã „«⁄Ì!
W * N N,SING,LOC,PR ‰ÌÊÌÊ—ﬂ
W * DELM DELM ‹
W * N N,SING,NPR «Ì—‰«
W * DELM DELM :
W * N N,SING,COM,GEN  ÊÂÌ‰
W * N N,SING,COM,GEN „Ã—Ì
W * N N,SING,COM,GEN »—‰«„Â
W * N N,SING,COM,GEN ‘»ﬂÂ
W * ADJ ADJ,SIM  ·ÊÌ“ÌÊ‰Ì
W * N N,SING,NPR,GEN «Ì »Ì ”Ì
W * N N,SING,LOC,PR ¬„—Ìﬂ«
W * P P »Â
W * N N,PL,COM,GEN “‰«‰
W * ADJ ADJ,SIM «Ì—«‰Ì
W * DELM DELM °
W * N N,SING,COM,GEN Œ‘„
W * N N,PL,COM,GEN «Ì—«‰Ì«‰
W * ADJ ADJ,SIM,GEN ”«ﬂ‰
W * N N,SING,LOC,PR ¬„—Ìﬂ«
W * RA RA —«
W * V V,PA,SIM,POS,3 »—«‰êÌŒ 
W * DELM DELM .
W * QUA QUA Ã„⁄Ì
W * P P «“
W * N N,PL,COM,GEN «Ì—«‰Ì«‰
W * ADJ ADJ,SIM,GEN ”«ﬂ‰
W * N N,SING,LOC,PR ¬„—Ìﬂ«
W * N N,SING,TIME,GEN —Ê“
W * N N,SING,DAY Ã„⁄Â
W * P P œ—
W * N N,SING,COM Ê«ﬂ‰‘
W * N N,SING,COM ‰”» 
W * P P »Â
W * N N,SING,NUM,INDF ÌﬂÌ
W * P P «“
W * N N,PL,COM,GEN »—‰«„Â Â«Ì
W * N N,SING,COM,GEN ‘»ﬂÂ
W * ADJ ADJ,SIM,GEN  ·ÊÌ“ÌÊ‰Ì
W * N N,SING,NPR,GEN «Ì »Ì ”Ì
W * N N,SING,LOC,PR ¬„—Ìﬂ«
W * P P »«
W * N N,SING,COM,GEN «—”«·
W * N N,PL,COM,GEN Å” Â«Ì
W * ADJ ADJ,SIM «·ﬂ —Ê‰Ìﬂ
W * P P »Â
W * N N,SING,COM,GEN ’›ÕÂ
