Sub * SUBJ SUBJ !”Ì«”Ì!
W * N N,SING,COM —∆Ì” Ã„ÂÊ—
W * N N,SING,PR Œ« „Ì
W * ADV ADV,GENR,TIME œÌ—Ê“
W * P P œ—
W * N N,SING,COM,INDF ÅÌ«„Ì
W * P P »Â
W * N N,SING,COM,GEN Â„«Ì‘
W * N N,SING,COM  €ÌÌ—
W * CON CON Ê
W * N N,PL,COM,GEN  ÕÊ·« 
W * ADJ ADJ,SIM ›—Â‰êÌ
W * CON CON Ê
W * N N,SING,COM,GEN «„‰Ì 
W * ADJ ADJ,SIM „·Ì
W * N N,SING,COM  ’—ÌÕ
W * V V,PA,SIM,POS,3 ﬂ—œ
W * CON CON ﬂÂ
W * N N,SING,COM,GEN «„‰Ì 
W * P P «“
W * N N,SING,COM,GEN ÿ—Ìﬁ
W * N N,SING,COM,GEN «” ﬁ—«—
W * ADJ ADJ,SIM ﬂ«„·
W * CON CON Ê
W * N N,SING,COM,GEN Õ«ﬂ„Ì 
W * N N,SING,COM ﬁ«‰Ê‰
W * N N,SING,COM œÊ«„
W * CON CON Ê
W * N N,SING,COM ﬁÊ«„
W * V V,PRS,POS,3 „Ì Ì«»œ
W * DELM DELM .
W * N N,SING,SURN,GEN ¬ﬁ«Ì
W * N N,SING,PR Œ« „Ì
W * N N,SING,COM,GEN »—ê“«—Ì
W * N N,SING,COM,GEN Â„«Ì‘
W * N N,SING,COM  €ÌÌ—
W * CON CON Ê
W * N N,PL,COM,GEN  ÕÊ·« 
W * ADJ ADJ,SIM ›—Â‰êÌ
W * DELM DELM -
W * ADJ ADJ,SIM «Ã „«⁄Ì
W * CON CON Ê
W * N N,SING,COM,GEN «„‰Ì 
W * ADJ ADJ,SIM „·Ì
W * RA RA —«
W * P P »Â
W * N N,SING,COM,GEN ⁄‰Ê«‰
W * N N,SING,COM,INDF «ﬁœ«„Ì
W * ADJ ADJ,SIM ‘«Ì” Â
W * P P «“
W * N N,SING,COM,GEN ”ÊÌ
W * N N,PL,COM,GEN „—«ﬂ“
W * ADJ ADJ,SIM œ«‰‘ê«ÂÌ
W * P P œ—
W * N N,SING,COM,GEN ÃÂ 
W * N N,SING,COM,GEN Å«”ŒêÊÌÌ
W * ADJ ADJ,SIM ⁄·„Ì
W * P P »Â
W * N N,PL,COM,GEN ‰Ì«“Â«Ì
W * N N,SING,COM Ã«„⁄Â
W * V V,PA,SIM,POS,3 œ«‰” 
W * CON CON Ê
W * V V,PA,SIM,POS,3 «›“Êœ
W * DELM DELM :
W * DET DET ¬‰
W * N N,SING,COM Œÿ „‘Ì
W * CON CON Ê
W * N N,SING,COM,INDF —ÊÌﬂ—œÌ
W * V V,PRE,ADJC,3 —«Âê‘«” 
W * CON CON ﬂÂ
W * ADJ ADJ,SIM „» ‰Ì
W * P P »—
W * N N,SING,COM,GEN „‘«—ﬂ 
W * N N,PL,COM,GEN ’«Õ»«‰
W * N N,SING,COM «‰œÌ‘Â
W * DELM DELM °
W * N N,PL,COM,GEN Ê«ﬁ⁄Ì« 
W * N N,SING,COM Ã«„⁄Â
W * CON CON Ê
W * N N,PL,COM,GEN „»«‰Ì
W * ADJ ADJ,SIM «’Ê·Ì
W * CON CON Ê
W * ADJ ADJ,SIM —Ê‘‰
W * V V,SUB,POS,3 »«‘œ
W * DELM DELM °
W * N N,PL,COM,GEN ÅœÌœÂ Â«Ì
W * ADJ ADJ,SIM ‰ÊÌ‰
W * RA RA —«
W * P P »Â
W * N N,SING,COM —”„Ì 
W * V V,SUB,POS,3 »‘‰«”œ
W * CON CON Ê
W * P P,GEN »—«Ì
W * N N,SING,COM Å«”ŒêÊ
W * N N,SING,NFL,GEN ﬂ—œ‰
W * N N,SING,COM,GEN ‰Ÿ«„
W * ADJ ADJ,SIM «Ã—«ÌÌ
W * P P œ—
W * N N,SING,COM,GEN »—«»—
W * PRO PRO,DEMO,PL ¬‰Â«
W * ADV ADV,GENR,SIM „ ⁄Âœ«‰Â
W * P P »Â
W * N N,SING,COM,GEN œ‰»«·
W * N N,SING,COM ÿ—«ÕÌ
W * CON CON Ê
W * N N,SING,COM »—‰«„Â —Ì“Ì
W * V V,SUB,POS,3 »«‘œ
W * DELM DELM .
W * N N,SING,PR Œ« „Ì
W * N N,SING,COM,GEN «„‰Ì 
W * ADJ ADJ,SIM „·Ì
W * RA RA —«
W * P P «“
W * ADJ ADJ,SUP «”«”Ì  —Ì‰
W * N N,PL,COM,GEN „ƒ·›Â Â«Ì
W * N N,SING,COM ﬁÊ«„
W * CON CON Ê
W * N N,SING,COM,GEN «” Õﬂ«„
W * N N,SING,COM Ã«„⁄Â
W * CON CON Ê
W * N N,SING,COM,GEN “‰œêÌ
W * ADJ ADJ,SIM »«⁄“ 
W * CON CON Ê
W * N N,SING,COM «ﬁ œ«—
W * P P œ—
W * N N,SING,COM,GEN ÃÂ«‰
W * ADJ ADJ,SIM ﬂ‰Ê‰Ì
W * V V,PA,SIM,POS,3 œ«‰” 
W * CON CON Ê
W * V V,PA,SIM,POS,3 «›“Êœ
W * DELM DELM :
W * N N,PL,COM ‰Ì«“Â«
W * CON CON Ê
W * N N,PL,COM,GEN „ﬁ ÷Ì« 
W * N N,SING,COM Ã«„⁄Â
W * CON CON,DCOR çÂ
W * ADJ ADJ,SIM »—¬„œÂ
W * P P «“
W * N N,PL,COM,GEN  ÕÊ·« 
W * N N,SING,COM,GEN ”«Œ «—
W * ADJ ADJ,SIM «Ã „«⁄Ì
W * CON CON Ê
W * ADJ ADJ,SIM «ﬁ ’«œÌ
W * CON CON Ê
W * CON CON,DCOR çÂ
W * ADJ ADJ,SIM »—Œ«” Â
W * P P «“
W * N N,SING,COM,GEN —ÊÕÌÂ
W * N N,SING,COM Å—”‘ê—Ì
W * CON CON Ê
W * N N,PL,COM,GEN œ€œ€Â Â«Ì
W * ADJ ADJ,SIM,GEN ›ﬂ—Ì
W * N N,SING,COM,GEN «‰”«‰
W * ADV ADV,GENR,TIME «„—Ê“
W * CON CON Ê
W * N N,PL,COM,GEN œê—êÊ‰Ì Â«Ì
W * ADJ ADJ,SIM ›—Â‰êÌ
W * CON CON Ê
W * ADJ ADJ,SIM ”Ì«”Ì
W * V V,SUB,POS,6 »«‘‰œ
W * DELM DELM °
W * V V,AUX,NIN,POS »«Ìœ
W * ADV ADV,GENR,SIM ÃœÌ
W * ADJ ADJ,INO ê—› Â
W * V V,SUB,POS,6 ‘Ê‰œ
W * DELM DELM .
W * N N,SING,COM —∆Ì” Ã„ÂÊ—Ì
W * P P œ—
W * N N,SING,COM,GEN »Œ‘
W * ADJ ADJ,SIM,INDF œÌê—Ì
W * P P «“
W * N N,SING,COM,GEN ÅÌ«„
W * PRO PRO,R,XOD ŒÊœ
W * P P »«
W * N N,SING,COM «‘«—Â
W * P P »Â
W * N N,SING,COM,GEN ·“Ê„
W * N N,SING,COM,GEN ‘‰«Œ 
W * N N,PL,COM,GEN ⁄‰«’—
W * ADJ ADJ,SIM „”«⁄œ
W * CON CON Ê
W * N N,PL,COM,GEN ⁄Ê«„·
W * ADJ ADJ,SIM ‰«„”«⁄œ
W * P P œ—
W * N N,SING,COM,GEN „”Ì—
W * N N,SING,COM,GEN «„‰Ì 
